adress,fee,features,sale_price,sold_date,value_dev,ppsqm,district,size,rooms,floor
bråvallagatan 7,2461,2.0,4 150 000, 4 mars 2021,9,98 575,vasastan,"42,1 ", 2,
ingemarsgatan 3b,1749,2.0,3 650 000, 4 mars 2021,11,104 286,vasastan,35 , 2,4
rödabergsbrinken 7,1611,,5 000 000, 4 mars 2021,19,100 000,vasastan,50 , 2,
tomtebogatan 23a,1700,3.0,7 600 000, 4 mars 2021,±0,135 714,vasastan,56 , 2,4
torsgatan 42,2006,2.0,3 940 000, 4 mars 2021,7,97 284,vasastan,"40,5 ", 2,
gävlegatan 26,2000,3.0,4 100 000, 4 mars 2021,5,102 500,vasastan,40 , 2,6
rörstrandsgatan 25,2120,2.0,6 300 000, 4 mars 2021,13,94 030,vasastan,67 , 3,
upplandsgatan 71,2375,2.0,9 100 000, 4 mars 2021,2,115 190,vasastan,79 , 3,
dalagatan 86 d,2204,2.0,3 860 000, 4 mars 2021,10,104 324,vasastan,37 , 2,3
norrbackagatan 5,969,,2 560 000, 4 mars 2021,14,108 475,vasastan,"23,6 ", 1,
vulcanusgatan 9,2899,3.0,7 300 000, 3 mars 2021,39,148 980,vasastan,49 , 2,5
gästrikegatan 14a,1806,1.0,4 300 000, 3 mars 2021,24,116 216,vasastan,37 , 1,2
vanadisvägen 5,2773,2.0,4 100 000, 3 mars 2021,8,89 130,vasastan,46 , 2,
frejgatan 54,1989,2.0,4 030 000, 3 mars 2021,19,118 529,vasastan,34 , 2,2
bråvallagatan 7,2360,3.0,4 385 000, 3 mars 2021,16,112 436,vasastan,39 ," 1,5",1
robert almströmsgatan 5,2957,2.0,6 600 000, 3 mars 2021,7,95 652,vasastan,69 , 2,4
birkagatan 16c,1741,3.0,3 750 000, 2 mars 2021,17,110 294,vasastan,34 , 2,2
dalagatan 68 b,2472,,5 052 000, 2 mars 2021,15,120 286,vasastan,42 , 2,
torsplan 8,5500,3.0,12 950 000, 2 mars 2021,±0,132 143,vasastan,98 , 5,21
norrtullsgatan 63,2800,3.0,5 500 000, 2 mars 2021,25,98 214,vasastan,56 , 2,
sonja kovalevskys gata 3,2450,,5 050 000, 2 mars 2021,±0,103 061,vasastan,49 , 2,3
sveavägen 122,1114,2.0,2 700 000, 2 mars 2021,23,117 391,vasastan,23 , 1,4
rödabergsbrinken 12,1691,,3 250 000, 2 mars 2021,18,108 333,vasastan,30 , 1,
robert almströmsgatan 9a,3166,2.0,8 500 000, 2 mars 2021,22,111 842,vasastan,76 , 3,4
hagagatan 12a,3244,3.0,8 650 000, 2 mars 2021,19,123 571,vasastan,70 , 3,
falugatan 5,1921,2.0,5 350 000, 2 mars 2021,13,110 309,vasastan,"48,5 ", 2,1
tomtebogatan 30,2988,2.0,6 400 000, 2 mars 2021,2,88 889,vasastan,72 , 2,1
tulegatan 28,1841,2.0,4 025 000, 2 mars 2021,24,108 784,vasastan,37 , 2,3
birger jarlsgatan 119,1214,3.0,3 650 000, 2 mars 2021,22,110 606,vasastan,33 ," 1,5",
torsplan 10,5885,3.0,eplats,hiss,slutpris 14 800 000 kr,såld 2 mars 2021,vasastan,106 , 4,27
sankt eriksgatan 92,2441,2.0,6 950 000, 2 mars 2021,16,121 930,vasastan,57 , 2,6
dalagatan 70 a,3086,,9 375 000, 2 mars 2021,25,121 753,vasastan,77 , 3,3
sankt eriksplan 15,1522,2.0,3 500 000, 2 mars 2021,17,109 375,vasastan,32 ," 1,5",
tomtebogatan 32a,2969,2.0,5 225 000, 1 mars 2021,±0,93 304,vasastan,56 , 2,
norrbackagatan 7,2899,,7 240 000, 1 mars 2021,4,79 560,vasastan,91 ," 3,5",
hagagatan 54a,2040,,3 200 000, 1 mars 2021,14,91 429,vasastan,35 , 1,3
upplandsgatan 67a,3811,3.0,10 200 000, 1 mars 2021,28,136 000,vasastan,75 , 3,2
rörstrandsgatan 56b,3246,2.0,5 200 000, 1 mars 2021,8,101 961,vasastan,51 , 2,
norrbackagatan 25c,1374,2.0,2 860 000, 1 mars 2021,2,102 143,vasastan,28 , 1,
rörstrandsgatan 15,5182,3.0,12 750 000, 1 mars 2021,±0,127 500,vasastan,100 , 4,
ynglingagatan 17,1910,2.0,3 350 000, 28 februari 2021,2,104 688,vasastan,32 ," 1,5",2
vulcanusgatan 1,2971,,6 800 000, 28 februari 2021,±0,103 030,vasastan,66 ," 2,5",2
torsplan 10. våning 26,5885,3.0,14 500 000, 28 februari 2021,±0,136 792,vasastan,106 + 4 , 4,
frejgatan 10,741,,5 000 000, 28 februari 2021,16,121 951,vasastan,41 , 2,
sankt eriksgatan 65,4377,2.0,9 400 000, 28 februari 2021,5,102 174,vasastan,92 , 3,7
hagagatan 22,4014,2.0,5 700 000, 27 februari 2021,10,89 063,vasastan,64 , 2,3
roslagsgatan 27,2102,3.0,4 500 000, 26 februari 2021,±0,100 000,vasastan,45 , 2,
rörstrandsgatan 48,5955,3.0,12 500 000, 26 februari 2021,19,116 822,vasastan,107 , 4,5
torsgatan 29 (1tr mot gården),4876,3.0,9 200 000, 26 februari 2021,3,92 000,vasastan,100 , 3,
hagagatan 15f,3669,3.0,7 400 000, 26 februari 2021,9,96 104,vasastan,77 , 3,2
rörstrandsgatan 60,3533,3.0,9 650 000, 26 februari 2021,7,113 529,vasastan,85 , 3,
luntmakargatan 81,2259,2.0,9 600 000, 26 februari 2021,1,101 053,vasastan,95 , 3,
birger jarlsgatan 99a,6443,3.0,12 300 000, 26 februari 2021,-5,108 850,vasastan,113 + 8 , 3,6
sveavägen 121b gårdsläge,1633,,3 500 000, 25 februari 2021,10,102 941,vasastan,34 ," 1,5",
västmannagatan 76,2204,3.0,3 550 000, 25 februari 2021,2,91 026,vasastan,39 , 1,4
roslagsgatan 53,2506,1.0,4 900 000, 25 februari 2021,9,106 522,vasastan,46 , 2,1
västmannagatan 30,3857,3.0,10 260 000, 25 februari 2021,14,112 747,vasastan,91 , 3,
roslagsgatan 58b,3071,1.0,5 500 000, 25 februari 2021,±0,96 491,vasastan,57 , 2,
tegnérgatan 55b,6225,3.0,14 500 000, 25 februari 2021,4,134 259,vasastan,108 , 4,
västmannagatan 54,1054,3.0,6 350 000, 25 februari 2021,18,122 115,vasastan,52 ," 2,5",1
torsgatan 42c,1879,2.0,3 725 000, 25 februari 2021,17,107 971,vasastan,"34,5 ", 1,
frejgatan 23,3142,2.0,6 400 000, 25 februari 2021,16,116 364,vasastan,55 , 2,4
vegagatan 5,2684,2.0,8 100 000, 24 februari 2021,12,117 391,vasastan,69 , 3,2
odengatan 62a,1307,1.0,8 050 000, 24 februari 2021,7,105 921,vasastan,76 , 3,1
sankt eriksgatan 72,1640,2.0,4 750 000, 24 februari 2021,13,96 939,vasastan,49 ," 2,5",3
rådmansgatan 46,4777,2.0,5 750 000, 24 februari 2021,19,82 143,vasastan,70 , 3,1
torsgatan 50,1298,2.0,3 625 000, 24 februari 2021,13,109 848,vasastan,33 , 2,
gästrikegatan 20,1514,2.0,3 660 000, 24 februari 2021,11,109 254,vasastan,"33,5 ", 1,2
sveavägen 135,1695,2.0,4 240 000, 24 februari 2021,6,94 222,vasastan,45 , 2,5
karlbergsvägen 53,2047,3.0,6 470 000, 24 februari 2021,16,120 484,vasastan,"53,7 ", 2,1
holländargatan 26b,5736,3.0,13 850 000, 24 februari 2021,16,122 566,vasastan,113 , 4,3
tre liljor 5,2463,2.0,5 800 000, 24 februari 2021,6,96 667,vasastan,60 , 2,
hagagatan 22,2885,2.0,4 030 000, 23 februari 2021,22,100 750,vasastan,40 , 2,5
ingemarsgatan 3b,1701,2.0,3 150 000, 23 februari 2021,15,101 613,vasastan,31 , 1,1
tomtebogatan 46,1783,3.0,4 140 000, 23 februari 2021,24,125 455,vasastan,33 , 2,
vanadisvägen 22,3339,3.0,9 675 000, 23 februari 2021,18,138 214,vasastan,70 + 17 , 3,6
rådmansgatan 70 b,4784,2.0,9 250 000, 23 februari 2021,16,110 119,vasastan,84 , 3,
norrbackagatan 16,2353,2.0,4 385 000, 23 februari 2021,10,101 977,vasastan,43 , 2,3
vulcanusgatan 1,3001,3.0,7 500 000, 23 februari 2021,7,113 636,vasastan,66 , 3,3
västmannagatan 70,1606,2.0,4 950 000, 23 februari 2021,18,115 116,vasastan,43 , 2,
norrbackagatan 27 a,2556,3.0,6 000 000, 23 februari 2021,15,98 361,vasastan,61 , 2,
västmannagatan 49,2471,2.0,5 585 000, 23 februari 2021,24,121 413,vasastan,46 , 2,
karlbergsvägen 54,6172,3.0,17 100 000, 23 februari 2021,10,122 143,vasastan,140 , 5,5
atlasmuren 4,2180,2.0,4 900 000, 23 februari 2021,11,100 000,vasastan,49 , 2,
birger jarlsgatan 103 b,2132,2.0,4 600 000, 23 februari 2021,16,109 524,vasastan,42 , 2,2
torsgatan 60,1579,2.0,10 375 000, 23 februari 2021,16,91 814,vasastan,113 , 4,1
hagagatan 46,4531,3.0,10 300 000, 23 februari 2021,16,113 187,vasastan,91 , 3,5
torsgatan 46,2095,3.0,14 400 000, 23 februari 2021,32,133 333,vasastan,108 , 3,5
torsgatan 39,1829,,5 850 000, 23 februari 2021,10,97 500,vasastan,60 , 2,
hälsingegatan 17,1661,1.0,6 450 000, 22 februari 2021,23,129 000,vasastan,50 , 2,4
birkagatan 21,2169,1.0,7 100 000, 22 februari 2021,9,107 576,vasastan,66 , 2,
torsgatan 29,1463,2.0,2 900 000, 22 februari 2021,18,126 087,vasastan,23 , 1,
norra stationsgatan 111,4298,3.0,8 300 000, 22 februari 2021,14,87 368,vasastan,95 , 4,
torbjörn klockares gata 6,1654,,4 400 000, 22 februari 2021,16,104 762,vasastan,42 ," 1,5",
vulcanusgatan 3,3663,3.0,6 525 000, 22 februari 2021,9,105 242,vasastan,62 ," 2,5",
tegnérgatan 19,2738,3.0,6 200 000, 21 februari 2021,11,103 333,vasastan,60 , 2,2
karlbergsvägen 33,2329,3.0,7 100 000, 21 februari 2021,±0,133 962,vasastan,53 , 2,5
markvardsgatan 9,1613,2.0,5 000 000, 21 februari 2021,5,104 167,vasastan,48 , 2,4
västmannagatan 80,2244,3.0,6 700 000, 20 februari 2021,12,111 667,vasastan,60 , 3,2
kammakargatan 44,4253,3.0,12 900 000, 20 februari 2021,3,116 216,vasastan,111 , 4,1
völundsgatan 10,3463,,6 700 000, 20 februari 2021,,100 000,vasastan,67 ," 2,5",2
tomtebogatan 44,2823,2.0,7 100 000, 20 februari 2021,18,110 938,vasastan,64 , 3,3
vikingagatan 7a,2108,3.0,4 500 000, 20 februari 2021,5,112 500,vasastan,40 , 2,
tomtebogatan 27,2071,,4 950 000, 20 februari 2021,13,110 000,vasastan,45 , 2,2
rehnsgatan 12,2014,1.0,5 910 000, 19 februari 2021,19,120 612,vasastan,49 , 2,2
norrtullsgatan 11,1210,3.0,4 900 000, 19 februari 2021,26,122 500,vasastan,40 , 2,2
upplandsgatan 86,3357,2.0,8 250 000, 19 februari 2021,22,109 272,vasastan,"75,5 ", 3,
sonja kovalevskys gata 3 - penthouse!,2800,3.0,9 750 000, 19 februari 2021,±0,174 107,vasastan,56 + 5 , 2,
döbelnsgatan 58,954,2.0,2 730 000, 19 februari 2021,±0,124 091,vasastan,22 , 1,
karlbergsvägen 57,1005,3.0,2 725 000, 19 februari 2021,9,136 250,vasastan,20 , 1,
jarlaplan 4,780,2.0,3 170 000, 19 februari 2021,44,158 500,vasastan,20 , 1,
torsgatan 56,3173,2.0,8 125 000, 19 februari 2021,±0,101 563,vasastan,80 , 3,4
gästrikegatan 14,4095,3.0,12 000 000, 19 februari 2021,20,133 333,vasastan,90 , 3,2
birkagatan 4,3428,2.0,8 300 000, 19 februari 2021,11,114 958,vasastan,"72,2 ", 2,2
tomtebogatan 12,3022,1.0,8 100 000, 19 februari 2021,25,122 727,vasastan,66 , 3,
upplandsgatan 26,4102,3.0,12 700 000, 19 februari 2021,-2,119 811,vasastan,106 , 3,
gästrikegatan 10,3315,3.0,8 700 000, 19 februari 2021,16,101 163,vasastan,86 , 3,
roslagsgatan 27,2289,2.0,5 200 000, 18 februari 2021,8,106 122,vasastan,49 , 2,1
hälsingegatan 15,2878,2.0,9 400 000, 18 februari 2021,5,110 588,vasastan,85 ," 2,5",
hagagatan 20a,1493,1.0,3 435 000, 18 februari 2021,10,114 500,vasastan,30 , 1,1
karlbergsvägen 87b,2609,3.0,5 650 000, 18 februari 2021,9,106 604,vasastan,53 , 2,
völundsgatan 9,2830,,3 900 000, 18 februari 2021,6,97 500,vasastan,40 ," 1,5",
dannemoragatan 22,3420,1.0,5 834 000, 18 februari 2021,6,89 754,vasastan,65 , 3,3
odengatan 2,5311,3.0,10 850 000, 18 februari 2021,11,106 373,vasastan,102 , 4,3
robert almströmsgatan 6,3371,3.0,8 000 000, 18 februari 2021,33,140 351,vasastan,57 , 2,5
torsgatan 29,4831,3.0,12 810 000, 18 februari 2021,3,129 394,vasastan,99 , 3,5
völundsgatan 7,1276,2.0,2 770 000, 18 februari 2021,16,115 417,vasastan,24 , 1,3
vikingagatan 26,2688,1.0,7 150 000, 18 februari 2021,21,121 186,vasastan,59 , 2,5
upplandsgatan 34,1855,3.0,5 310 000, 18 februari 2021,27,123 488,vasastan,43 , 2,5
vikingagatan 3,2810,1.0,5 350 000, 18 februari 2021,3,109 184,vasastan,49 , 2,
tomtebogatan 31,809,2.0,2 820 000, 18 februari 2021,15,122 609,vasastan,23 , 1,2
rörstrandsgatan 13,1404,3.0,10 200 000, 18 februari 2021,±0,117 241,vasastan,87 , 3,3
hedemoratäppan 1,1585,,3 225 000, 18 februari 2021,6,115 179,vasastan,28 , 1,
observatoriegatan 13,2727,3.0,9 650 000, 18 februari 2021,23,134 028,vasastan,72 , 3,4
observatoriegatan 21,3532,3.0,11 600 000, 18 februari 2021,21,125 000,vasastan,"92,8 ", 3,4
dalagatan 36,2116,3.0,15 500 000, 18 februari 2021,24,139 640,vasastan,111 , 4,
tomtebogatan 34,3962,2.0,10 950 000, 17 februari 2021,4,101 389,vasastan,108 , 4,2
gästrikegatan 13,1499,2.0,5 000 000, 17 februari 2021,14,113 636,vasastan,44 , 2,5
völundsgatan 1,3400,3.0,7 100 000, 17 februari 2021,20,120 339,vasastan,59 , 3,3
karlbergsvägen 72a,4090,2.0,13 650 000, 17 februari 2021,21,125 229,vasastan,109 , 4,2
roslagsgatan 23b,2329,1.0,6 225 000, 17 februari 2021,7,102 049,vasastan,61 , 2,
sigtunagatan 16,2390,,6 525 000, 17 februari 2021,±0,94 292,vasastan,"69,2 ", 2,
frejgatan 36a,1850,3.0,3 150 000, 17 februari 2021,13,112 500,vasastan,28 , 1,2
döbelnsgatan 52,2128,3.0,5 375 000, 17 februari 2021,15,102 772,vasastan,"52,3 ", 2,7
frejgatan 34,2182,3.0,4 500 000, 17 februari 2021,16,112 500,vasastan,40 ," 2,5",4
roslagsgatan 21b,1699,,3 470 000, 17 februari 2021,16,105 152,vasastan,33 , 1,
västeråsgatan 3 b,3148,2.0,8 760 000, 17 februari 2021,20,112 308,vasastan,78 , 3,3
roslagsgatan 40 b,2640,1.0,8 500 000, 17 februari 2021,13,118 056,vasastan,72 + 9 , 3,4
tre liljor 2a,2546,3.0,4 520 000, 17 februari 2021,8,96 170,vasastan,47 , 2,4
döbelnsgatan 56,1368,2.0,3 550 000, 17 februari 2021,19,110 592,vasastan,"32,1 ", 1,6
roslagsgatan 41,4734,,9 250 000, 17 februari 2021,13,94 388,vasastan,98 , 3,3
sankt eriksgatan 85d,1024,,4 600 000, 16 februari 2021,±0,129 577,vasastan,"35,5 ", 2,
frejgatan 44,821,2.0,3 850 000, 16 februari 2021,±0,106 944,vasastan,36 , 1,
rådmansgatan 76c,1954,3.0,8 550 000, 16 februari 2021,14,109 615,vasastan,78 , 4,2
torsplan 8,4401,3.0,10 000 000, 16 februari 2021,11,133 333,vasastan,75 , 3,
teknologgatan 5,1530,3.0,10 450 000, 16 februari 2021,16,129 012,vasastan,81 , 3,1
vanadisvägen 5,2082,2.0,3 060 000, 16 februari 2021,23,102 000,vasastan,30 ," 1,5",
vikingagatan 18,1746,2.0,10 400 000, 16 februari 2021,20,106 122,vasastan,98 , 3,
sankt eriksgatan 108,2032,2.0,5 150 000, 16 februari 2021,20,109 574,vasastan,47 , 2,3
roslagsgatan 33b,2658,2.0,6 450 000, 16 februari 2021,4,104 032,vasastan,62 , 2,
frejgatan 53,2084,3.0,6 100 000, 16 februari 2021,17,112 963,vasastan,54 ," 2,5",5
torbjörn klockares gata 19,2454,,4 560 000, 16 februari 2021,30,106 047,vasastan,43 , 2,
atlasgatan 16,2158,,4 050 000, 16 februari 2021,16,106 579,vasastan,38 , 2,3
frejgatan 57,4579,,8 125 000, 16 februari 2021,25,111 301,vasastan,73 , 2,5
gävlegatan 26,1700,2.0,3 600 000, 15 februari 2021,13,105 882,vasastan,34 , 2,4
norra stationsgatan 53,1867,2.0,3 020 000, 15 februari 2021,12,104 138,vasastan,29 , 1,
torsgatan 42d,2004,3.0,4 590 000, 15 februari 2021,24,133 043,vasastan,"34,5 ", 2,3
tomtebogatan 15,2021,2.0,5 000 000, 15 februari 2021,19,119 048,vasastan,42 , 2,3
västmannagatan 46,985,3.0,6 250 000, 15 februari 2021,14,99 206,vasastan,63 , 2,
gästrikegatan 22,2009,3.0,7 500 000, 15 februari 2021,15,119 048,vasastan,63 , 2,
birkagatan 24,2922,2.0,6 200 000, 15 februari 2021,13,105 085,vasastan,59 , 2,
tulegatan 3,682,3.0,6 400 000, 15 februari 2021,7,96 970,vasastan,66 , 3,
idungatan 7a,1146,2.0,3 900 000, 15 februari 2021,22,114 706,vasastan,34 ," 1,5",
roslagsgatan 29,2010,3.0,3 750 000, 15 februari 2021,19,117 188,vasastan,32 , 2,1
rörstrandsgatan 36,4828,3.0,12 100 000, 15 februari 2021,5,112 037,vasastan,108 , 4,2
hälsingegatan 8a,2270,,7 000 000, 14 februari 2021,±0,118 644,vasastan,59 , 3,
norrtullsgatan 31,1609,,3 480 000, 14 februari 2021,6,105 455,vasastan,33 , 1,
ynglingagatan 25 & 27,3175,2.0,2 402 254, 13 februari 2021,-52,33 835,vasastan,71 ," 2,5",5
birkagatan 4,1698,,3 950 000, 13 februari 2021,±0,119 697,vasastan,33 , 2,
frejgatan 20,2229,3.0,4 900 000, 13 februari 2021,9,102 083,vasastan,48 ," 2,5",2
västmannagatan 52,6400,3.0,11 550 000, 13 februari 2021,7,95 455,vasastan,121 , 5,6
gästrikegatan 20,2304,3.0,6 900 000, 12 februari 2021,15,124 549,vasastan,"55,4 ", 2,2
vulcanusgatan 13,2939,1.0,6 600 000, 12 februari 2021,20,108 197,vasastan,61 , 2,
sankt eriksgatan 65,4048,2.0,9 350 000, 12 februari 2021,17,110 000,vasastan,85 , 3,7
surbrunnsgatan 23,955,,1 900 000, 12 februari 2021,12,105 556,vasastan,18 + 16 , 1,
tegnérgatan 55a,2257,2.0,4 325 000, 12 februari 2021,31,123 571,vasastan,35 , 2,2
döbelnsgatan 56,4750,3.0,12 000 000, 12 februari 2021,10,97 561,vasastan,123 , 4,
torsplan 8,3866,3.0,6 440 000, 12 februari 2021,-1,102 222,vasastan,63 , 2,9
frejgatan 37,3682,3.0,6 050 000, 12 februari 2021,10,84 028,vasastan,72 , 2,2
luntmakargatan 67,3744,2.0,9 050 000, 12 februari 2021,7,107 738,vasastan,84 , 3,4
gästrikegatan 15a,1249,,3 550 000, 12 februari 2021,±0,118 333,vasastan,30 , 1,
västmannagatan 84,2150,2.0,8 600 000, 12 februari 2021,19,118 294,vasastan,"72,7 ", 3,
gästrikegatan 12,2468,2.0,6 300 000, 12 februari 2021,17,100 000,vasastan,63 , 2,
upplandsgatan 25a,923,,2 600 000, 12 februari 2021,18,152 941,vasastan,17 , 1,
hagagatan 17m,3717,3.0,7 200 000, 11 februari 2021,5,92 308,vasastan,78 , 3,
gävlegatan 26,2200,3.0,4 500 000, 11 februari 2021,13,102 273,vasastan,44 , 2,5
völundsgatan 7,1136,2.0,2 775 000, 11 februari 2021,16,115 625,vasastan,24 , 1,
vanadisvägen 4i,1836,3.0,3 900 000, 11 februari 2021,4,95 122,vasastan,41 ," 1,5",1
idungatan 14,2638,2.0,9 480 000, 11 februari 2021,19,110 233,vasastan,86 , 3,3
hagagatan 14,3374,3.0,9 600 000, 11 februari 2021,19,118 519,vasastan,81 , 3,3
sankt eriksgatan 85b,954,3.0,4 450 000, 11 februari 2021,17,123 611,vasastan,36 , 2,
bråvallagatan 14,1653,,6 000 000, 11 februari 2021,7,95 238,vasastan,63 , 2,
döbelnsgatan 60,1207,2.0,3 410 000, 11 februari 2021,14,110 000,vasastan,31 , 1,3
hagagatan 38,2294,2.0,5 325 000, 10 februari 2021,7,98 611,vasastan,54 , 2,2
hedemoratäppan 1,1915,,3 980 000, 10 februari 2021,±0,117 059,vasastan,34 , 2,
torsgatan 42d,1981,3.0,4 950 000, 10 februari 2021,13,113 793,vasastan,"43,5 ", 2,
birger jarlsgatan 83,7058,2.0,13 000 000, 10 februari 2021,4,95 588,vasastan,136 , 4,
västmannagatan 44,523,3.0,3 400 000, 10 februari 2021,14,117 241,vasastan,29 , 1,3
norrbackagatan 46,2060,2.0,3 960 000, 10 februari 2021,13,107 027,vasastan,37 , 1,
frejgatan 19a,802,1.0,3 600 000, 10 februari 2021,14,116 129,vasastan,31 , 1,3
västmannagatan 76,4472,3.0,8 200 000, 10 februari 2021,8,95 349,vasastan,86 , 4,3
sveavägen 136,2667,3.0,8 200 000, 10 februari 2021,12,102 500,vasastan,80 , 3,
upplandsgatan 63 a,2802,1.0,8 600 000, 10 februari 2021,15,126 471,vasastan,68 , 3,3
roslagsgatan 41,3358,,6 750 000, 10 februari 2021,14,97 826,vasastan,69 , 2,
karlbergsvägen 32b,1295,,4 000 000, 10 februari 2021,25,117 647,vasastan,34 , 1,
torsplan 8,4916,3.0,9 175 000, 10 februari 2021,8,106 686,vasastan,86 , 3,11
roslagsgatan 60,2617,2.0,4 250 000, 10 februari 2021,6,84 158,vasastan,"50,5 ", 2,
dalagatan 86f,2900,2.0,5 320 000, 10 februari 2021,21,108 571,vasastan,49 , 2,
sveavägen 87,5626,3.0,13 350 000, 10 februari 2021,16,111 250,vasastan,120 , 4,
rörstrandsgatan 16,3748,3.0,13 400 000, 10 februari 2021,12,138 144,vasastan,97 , 4,3
tomtebogatan 32a,3220,3.0,5 575 000, 9 februari 2021,-2,91 393,vasastan,61 , 2,
sigtunagatan 19,2257,3.0,6 800 000, 9 februari 2021,22,121 429,vasastan,56 , 2,1
sankt eriksplan 17,1934,3.0,4 600 000, 9 februari 2021,10,97 872,vasastan,47 , 2,
döbelnsgatan 16a,4400,3.0,13 950 000, 9 februari 2021,18,126 818,vasastan,110 , 4,1
sveavägen 89,1998,2.0,4 490 000, 9 februari 2021,16,108 193,vasastan,"41,5 ", 2,3
holländargatan 33,2178,2.0,7 175 000, 9 februari 2021,17,107 090,vasastan,67 , 2,3
sveavägen 122,1108,2.0,2 625 000, 9 februari 2021,25,119 318,vasastan,22 , 1,5
roslagsgatan 54,1900,2.0,4 850 000, 9 februari 2021,8,97 000,vasastan,50 , 2,
roslagsgatan 24,2230,2.0,4 750 000, 9 februari 2021,6,85 740,vasastan,"55,4 ", 2,
frejgatan 23,2620,2.0,5 170 000, 9 februari 2021,29,117 500,vasastan,44 , 2,
rehnsgatan 21a,1593,,6 455 000, 9 februari 2021,11,111 293,vasastan,58 , 2,2
vanadisvägen 26b,1569,2.0,4 120 000, 9 februari 2021,18,105 641,vasastan,39 , 1,4
dalagatan 40a,2509,1.0,7 625 000, 8 februari 2021,17,125 000,vasastan,61 , 2,3
norrtullsgatan 63,1885,3.0,3 600 000, 8 februari 2021,20,100 000,vasastan,36 ," 1,5",3
rådmansgatan 46,1449,2.0,2 450 000, 8 februari 2021,-2,122 500,vasastan,20 , 1,4
sankt eriksgatan 72,2100,1.0,7 250 000, 8 februari 2021,4,113 281,vasastan,64 + 14 , 3,
birkagatan 25,5843,3.0,18 000 000, 8 februari 2021,6,146 341,vasastan,123 + 27 , 3,5
rådmansgatan 75,1415,2.0,4 050 000, 8 februari 2021,19,115 714,vasastan,35 , 2,1
vanadisvägen 5,2872,2.0,4 300 000, 8 februari 2021,8,93 478,vasastan,46 , 2,4
torsgatan 52,2122,2.0,5 110 000, 8 februari 2021,14,106 458,vasastan,48 , 2,3
gästrikegatan 14 a,1782,,4 425 000, 7 februari 2021,±0,116 447,vasastan,38 , 1,1
frejgatan 25,1944,,4 000 000, 7 februari 2021,14,105 263,vasastan,38 , 2,
ynglingagatan 5,3952,3.0,5 780 000, 6 februari 2021,5,85 000,vasastan,68 , 2,
falugatan 18,1268,,2 500 000, 6 februari 2021,±0,111 111,vasastan,"22,5 ", 1,
rörstrandsgatan 14a,3505,1.0,11 500 000, 6 februari 2021,10,116 162,vasastan,99 + 4 , 3,
valhallavägen 22b,2456,2.0,5 200 000, 5 februari 2021,22,108 333,vasastan,48 , 2,2
norra stationsgatan 115,1752,2.0,3 805 000, 5 februari 2021,12,92 805,vasastan,41 , 2,1
roslagsgatan 29a,1507,2.0,2 450 000, 5 februari 2021,±0,102 083,vasastan,24 , 1,3
roslagsgatan 60,1791,2.0,3 400 000, 5 februari 2021,17,106 250,vasastan,32 , 2,1
rådmansgatan 39b,3278,2.0,8 800 000, 5 februari 2021,10,108 642,vasastan,81 , 3,
döbelnsgatan 67b,2163,2.0,7 520 000, 5 februari 2021,25,117 500,vasastan,64 , 2,
roslagsgatan 33a,2684,2.0,6 575 000, 4 februari 2021,,119 545,vasastan,55 + 8 ," 2,5",
falugatan 7,2914,,8 300 000, 4 februari 2021,19,115 278,vasastan,72 , 3,
tegnérlunden 6,2391,3.0,4 975 000, 4 februari 2021,4,99 500,vasastan,50 , 2,3
idungatan 5,3577,3.0,6 100 000, 4 februari 2021,11,88 406,vasastan,69 , 3,
kungstensgatan 29,2631,2.0,7 850 000, 4 februari 2021,19,118 939,vasastan,66 ," 2,5",1
luntmakargatan 78,3132,3.0,9 580 000, 4 februari 2021,7,105 275,vasastan,91 , 3,2
birger jarlsgatan 110,4230,3.0,17 300 000, 4 februari 2021,5,115 333,vasastan,150 , 6,5
sankt eriksgatan 85a,1956,2.0,8 100 000, 4 februari 2021,16,108 000,vasastan,75 ," 2,5",
rörstrandsgatan 48a,2598,1.0,6 100 000, 4 februari 2021,15,122 000,vasastan,50 , 2,2
norrbackagatan 16,2079,2.0,3 775 000, 4 februari 2021,11,99 342,vasastan,38 , 1,
birger jarlsgatan 79,1712,3.0,9 880 000, 4 februari 2021,-1,114 884,vasastan,86 , 3,
birkagatan 19,2607,3.0,9 500 000, 4 februari 2021,16,133 803,vasastan,71 , 2,
norra stationsgatan 117,2333,,3 945 000, 4 februari 2021,13,98 625,vasastan,40 , 2,
odengatan 89a,849,1.0,6 100 000, 4 februari 2021,17,127 083,vasastan,48 , 2,1
dalagatan 30,2467,3.0,10 700 000, 3 februari 2021,7,118 889,vasastan,90 , 3,1
dalagatan 90,3764,2.0,7 250 000, 3 februari 2021,4,92 949,vasastan,78 , 3,2
birger jarlsgatan 113a,2737,2.0,7 475 000, 3 februari 2021,12,108 333,vasastan,69 , 3,
sonja kovalevskys gata 11,2300,3.0,4 800 000, 3 februari 2021,10,104 348,vasastan,46 , 3,
frejgatan 36a,1850,3.0,3 100 000, 3 februari 2021,11,110 714,vasastan,28 , 1,3
tomtebogatan 29,3213,3.0,12 100 000, 3 februari 2021,1,112 037,vasastan,108 , 4,3
rörstrandsgatan 25,1636,2.0,4 560 000, 3 februari 2021,9,101 333,vasastan,45 , 2,
norrbackagatan 44,1172,4.0,3 750 000, 3 februari 2021,14,117 188,vasastan,32 , 2,
