adress,fee,features,sale_price,sold_date,value_dev,ppsqm,district,size,rooms,floor
sonja kovalevskys gata 4,4605,3.0,9 400 000, 20 oktober 2021,4,103 297,vasastan,91 , 4,4
sigtunagatan 5a,2430,3.0,8 900 000, 20 oktober 2021,1,171 154,vasastan,52 + 15 , 2,
bråvallagatan 8,2157,2.0,3 120 000, 20 oktober 2021,12,115 556,vasastan,27 , 1,3
tomtebogatan 40,2588,2.0,6 750 000, 20 oktober 2021,13,116 379,vasastan,58 , 2,
torsgatan 70,3088,2.0,8 200 000, 20 oktober 2021,,107 895,vasastan,76 , 3,3
rehnsgatan 1,2539,3.0,14 000 000, 20 oktober 2021,17,137 255,vasastan,102 , 4,2
drejargatan 6,2600,2.0,5 700 000, 20 oktober 2021,15,118 750,vasastan,48 , 2,2
hagagatan 17e,3336,3.0,6 350 000, 20 oktober 2021,±0,90 714,vasastan,70 , 3,
hagagatan 22,4766,3.0,8 725 000, 20 oktober 2021,9,111 859,vasastan,78 , 3,3
vanadisvägen 26b,3339,2.0,7 695 000, 20 oktober 2021,±0,92 711,vasastan,83 , 3,
teknologgatan 8b,4008,2.0,9 200 000, 20 oktober 2021,15,143 750,vasastan,64 + 11 , 2,
dannemoragatan 18,1885,3.0,3 675 000, 20 oktober 2021,19,102 083,vasastan,36 , 2,4
roslagsgatan 48,636,2.0,3 620 000, 20 oktober 2021,25,134 074,vasastan,27 , 1,4
döbelnsgatan 71,5156,3.0,18 100 000, 20 oktober 2021,14,156 034,vasastan,116 , 4,
hälsingegatan 3,1533,,4 950 000, 20 oktober 2021,5,105 319,vasastan,47 , 2,
sveavägen 136,3267,3.0,9 850 000, 20 oktober 2021,3,99 495,vasastan,99 ," 4,5",
rödabergsgatan 5,3022,,6 300 000, 20 oktober 2021,15,106 780,vasastan,59 , 2,
vanadisvägen 25,2778,3.0,6 200 000, 20 oktober 2021,8,119 231,vasastan,52 , 2,
sveavägen 55,2820,3.0,12 000 000, 19 oktober 2021,±0,104 348,vasastan,115 ," 4,5",5
hälsingegatan 19,2412,1.0,7 875 000, 19 oktober 2021,21,131 250,vasastan,60 , 2,2
surbrunnsgatan 26,1541,,5 900 000, 19 oktober 2021,21,134 091,vasastan,44 , 2,3
norrbackagatan 23,4235,3.0,8 550 000, 19 oktober 2021,-2,82 212,vasastan,104 , 4,6
sankt eriksgatan 64 / atlasmuren 18,1934,2.0,8 500 000, 19 oktober 2021,8,105 985,vasastan,"80,2 ", 3,
rörstrandsgatan 2,642,,7 700 000, 19 oktober 2021,15,114 925,vasastan,67 , 2,3
torsgatan 59,2352,3.0,8 075 000, 19 oktober 2021,29,144 196,vasastan,56 , 2,5
luntmakargatan 63,1636,3.0,5 600 000, 19 oktober 2021,25,121 739,vasastan,46 , 2,3
drejargatan 6,2004,2.0,4 800 000, 19 oktober 2021,23,129 730,vasastan,37 , 2,5
surbrunnsgatan 64,3576,3.0,9 000 000, 19 oktober 2021,8,126 761,vasastan,71 , 3,
karlbergsvägen 37 a,1155,2.0,5 100 000, 19 oktober 2021,28,127 500,vasastan,40 , 2,
tulegatan 32a,3779,2.0,11 600 000, 19 oktober 2021,11,119 588,vasastan,97 + 11 , 3,
hälsingegatan 13a,1639,4.0,4 800 000, 19 oktober 2021,20,123 077,vasastan,39 , 2,
frejgatan 45,2324,3.0,5 800 000, 18 oktober 2021,22,128 889,vasastan,45 , 2,3
upplandsgatan 22,1965,3.0,6 200 000, 18 oktober 2021,41,134 783,vasastan,46 , 2,
emmy rappes gata 3,2477,3.0,4 700 000, 18 oktober 2021,19,113 253,vasastan,"41,5 ", 2,4
