,adress,fee,features,sale_price,sold_date,value_dev,ppsqm,district,size,rooms,floor,Latitude,Longitude,NearbyPOIs
0,tegnérlunden 6,1973,3.0,5400000, 27 januari 2022,14,108000,vasastan,50,2,,59.3387518737797,18.054656982421875,138.0
1,sveavägen 93,1793,2.0,3800000, 27 januari 2022,9,105556,vasastan,36,1,1.0,59.34540430877549,18.05328369140625,99.0
2,norrbackagatan 27a,1608,3.0,4200000, 27 januari 2022,17,110526,vasastan,38,1,4.0,59.34365379431907,18.02925109863281,34.0
3,tomtebogatan 30b,2789,2.0,8800000, 27 januari 2022,,125714,vasastan,70,3,,59.34190318962736,18.029937744140625,43.0
4,vanadisvägen 39,1447,,3110000, 27 januari 2022,25,129583,vasastan,24,1,,59.34505421310287,18.040924072265625,73.0
5,kammakargatan 64,2183,2.0,3150000, 27 januari 2022,11,108621,vasastan,29,1,2.0,59.33700101641311,18.05328369140625,106.0
6,norrbackagatan 42,2831,,7900000, 27 januari 2022,32,138596,vasastan,57,2,,59.34155305786052,18.03131103515625,55.0
7,gästrikegatan 8,4966,3.0,12000000, 27 januari 2022,14,141176,vasastan,85,3,,59.34120292248412,18.04023742675781,76.0
8,falugatan 17,2625,,4750000, 26 januari 2022,19,107955,vasastan,44,2,,59.34400390442908,18.03680419921875,97.0
9,sveavägen 117a,2156,2.0,7800000, 26 januari 2022,12,127869,vasastan,61,2,,59.34680465537325,18.051910400390625,73.0
10,gävlegatan 32,1750,3.0,4500000, 26 januari 2022,16,128571,vasastan,35,2,8.0,59.34715473299961,18.033370971679688,16.0
11,sankt eriksgatan 106,3196,3.0,13750000, 26 januari 2022,10,120614,vasastan,114,4,4.0,59.344354010929706,18.04023742675781,74.0
12,norrbackagatan 14,1557,2.0,2900000, 26 januari 2022,12,120833,vasastan,24,1,,59.3387518737797,18.032684326171875,92.0
13,tomtebogatan 3,565,3.0,3050000, 26 januari 2022,9,152500,vasastan,20,1,,59.34120292248412,18.03680419921875,99.0
14,david bagares gata 12a,1347,,3500000, 26 januari 2022,11,134615,vasastan,26,1,,59.33735119510607,18.068389892578125,196.0
15,idungatan 1b,1759,3.0,3150000, 25 januari 2022,5,101613,vasastan,31,1,,59.348204944223866,18.04779052734375,45.0
16,rörstrandsgatan 40,3465,3.0,12000000, 25 januari 2022,10,126316,vasastan,95,3,2.0,59.34120292248412,18.028564453125,32.0
17,ynglingagatan 25 & 27,3075,2.0,10025000, 25 januari 2022,22,133667,vasastan,75,3,5.0,59.348204944223866,18.0450439453125,41.0
18,norrtullsgatan 41,4392,3.0,16125000, 25 januari 2022,4,153571,vasastan,105,4,,59.34540430877549,18.04847717285156,108.0
19,döbelnsgatan 47,1887,2.0,4625000, 25 januari 2022,22,132143,vasastan,35,2,1.0,59.34190318962736,18.06015014648437,184.0
20,idungatan 10,5539,,12000000, 25 januari 2022,17,120000,vasastan,100,3,,59.348204944223866,18.046417236328125,43.0
21,surbrunnsgatan 46,380,3.0,7750000, 25 januari 2022,24,131356,vasastan,59,2,1.0,59.34505421310287,18.054656982421875,120.0
22,norrbackagatan 26,3488,3.0,9815000, 25 januari 2022,28,138239,vasastan,71,3,3.0,59.33980234488247,18.03062438964844,65.0
23,falugatan 18,1941,,4560000, 25 januari 2022,27,126667,vasastan,36,2,1.0,59.34470411382097,18.036117553710938,81.0
24,rödabergsgatan 7,3086,,6225000, 25 januari 2022,7,107328,vasastan,58,2,1.0,59.34400390442908,18.036117553710938,103.0
25,holländargatan 26b,5685,3.0,14100000, 25 januari 2022,1,125893,vasastan,112,4,,59.33980234488247,18.057403564453125,181.0
26,surbrunnsgatan 43b,2684,1.0,6750000, 25 januari 2022,17,132353,vasastan,51,2,2.0,59.34470411382097,18.0560302734375,133.0
27,rådmansgatan 46,3506,3.0,3350000, 25 januari 2022,12,101515,vasastan,33,1,3.0,59.34120292248412,18.0615234375,181.0
28,hagagränd 2,2293,1.0,6600000, 25 januari 2022,26,137500,vasastan,48,2,3.0,59.344354010929706,18.051910400390625,94.0
29,hagagatan 16a,2769,3.0,6520000, 25 januari 2022,17,123019,vasastan,53,2,2.0,59.34540430877549,18.05259704589844,99.0
30,dalagatan 86 d,3532,,8300000, 25 januari 2022,26,131746,vasastan,63,3,0.0,59.34610448929284,18.04229736328125,59.0
31,karlbergsvägen 70b,3462,3.0,11400000, 25 januari 2022,20,125275,vasastan,91,3,,59.34260344233248,18.03062438964844,48.0
32,eastmansvägen 11,3163,3.0,12425000, 25 januari 2022,24,146176,vasastan,85,4,6.0,59.33980234488247,18.045730590820312,67.0
33,tomtebogatan 35,3961,3.0,10800000, 25 januari 2022,20,145946,vasastan,74,3,,59.34155305786052,18.02925109863281,33.0
34,hagagatan 50 a,1755,1.0,4100000, 24 januari 2022,17,132258,vasastan,31,2,4.0,59.34855500741373,18.04916381835937,46.0
35,roslagsgatan 42c,2286,1.0,5000000, 24 januari 2022,14,113636,vasastan,44,1,,59.34890506699451,18.058090209960938,75.0
36,västmannagatan 71 d,1783,3.0,7525000, 24 januari 2022,20,139352,vasastan,54,2,,59.34330368059963,18.044357299804688,72.0
37,nina einhorns gata 1,4162,3.0,9300000, 22 januari 2022,9,103333,vasastan,90,3,,59.34715473299961,18.035430908203125,31.0
38,västmannagatan 30,3767,2.0,10850000, 22 januari 2022,±0,121910,vasastan,89,4,,59.33910203442368,18.050537109375,110.0
39,tomtebogatan 39,2269,,3100000, 21 januari 2022,-6,86111,vasastan,36,2,,59.34190318962736,18.028564453125,29.0
40,hagagatan 37,5500,2.0,12150000, 21 januari 2022,11,98780,vasastan,123,3,5.0,59.34890506699451,18.04847717285156,39.0
41,sveavägen 122,2556,3.0,7850000, 21 januari 2022,3,107534,vasastan,73,3,5.0,59.34505421310287,18.054656982421875,120.0
42,holländargatan 31,2482,3.0,7350000, 21 januari 2022,15,114844,vasastan,64,2,,59.33945219145792,18.057403564453125,177.0
43,bråvallagatan 6,4640,3.0,11110000, 21 januari 2022,17,124831,vasastan,89,3,,59.33840170952597,18.034744262695312,111.0
44,kungstensgatan 29,2646,3.0,8850000, 21 januari 2022,13,130147,vasastan,68,2,,59.34190318962736,18.06015014648437,184.0
45,tomtebogatan 30,3029,2.0,9800000, 21 januari 2022,15,128947,vasastan,76,3,4.0,59.34155305786052,18.029937744140625,44.0
46,luntmakargatan 85,1344,2.0,2900000, 20 januari 2022,32,131818,vasastan,22,1,,59.34260344233248,18.058090209960938,176.0
47,roslagsgatan 21a,2486,1.0,7000000, 20 januari 2022,,137255,vasastan,51,2,3.0,59.34680465537325,18.05877685546875,108.0
48,frejgatan 99,1921,1.0,6475000, 20 januari 2022,25,140761,vasastan,46,2,3.0,59.34330368059963,18.04161071777344,81.0
49,tre liljor 2a,1616,2.0,3250000, 20 januari 2022,14,112069,vasastan,29,1,2.0,59.34785487742492,18.0450439453125,43.0
50,sveavägen 134,2215,2.0,4090000, 20 januari 2022,8,102250,vasastan,40,1,3.0,59.34610448929284,18.054656982421875,104.0
51,torsgatan 40a ög,1594,,3400000, 20 januari 2022,±0,130769,vasastan,26,1,,59.34085278349814,18.038864135742188,80.0
52,sankt eriksgatan 85a,1956,2.0,8275000, 20 januari 2022,10,110333,vasastan,75,3,,59.34050264090254,18.03680419921875,95.0
53,upplandsgatan 59,3274,3.0,12200000, 20 januari 2022,16,140230,vasastan,87,3,4.0,59.34330368059963,18.047103881835938,77.0
54,roslagsgatan 32,2409,,9400000, 20 januari 2022,11,136232,vasastan,69,2,,59.34750480701685,18.05877685546875,100.0
55,tomtebogatan 38,1364,2.0,3910000, 19 januari 2022,15,115000,vasastan,34,1,2.0,59.34225331778468,18.028564453125,29.0
56,döbelnsgatan 95,1420,2.0,5290000, 19 januari 2022,18,123023,vasastan,43,2,3.0,59.346454574137645,18.055343627929688,101.0
57,vegagatan 3,4286,3.0,16850000, 19 januari 2022,±0,134800,vasastan,125,4,,59.34120292248412,18.05122375488281,111.0
58,dalagatan 72a,5144,1.0,13600000, 19 januari 2022,18,149451,vasastan,91,4,,59.344354010929706,18.043670654296875,82.0
59,hagagatan 37,5500,2.0,11200000, 19 januari 2022,12,91057,vasastan,123,3,2.0,59.34890506699451,18.04847717285156,39.0
60,hagagatan 17g,3847,3.0,8800000, 18 januari 2022,20,112821,vasastan,78,3,2.0,59.34540430877549,18.050537109375,102.0
61,sankt eriksgatan 99,2343,2.0,7820000, 18 januari 2022,4,108611,vasastan,72,3,2.0,59.34365379431907,18.038864135742188,86.0
62,rörstrandsgatan 48a,1517,1.0,4240000, 18 januari 2022,37,163077,vasastan,26,2,2.0,59.34155305786052,18.027877807617188,20.0
63,karlbergsvägen 84a,2170,,5200000, 18 januari 2022,27,115556,vasastan,45,2,,59.34365379431907,18.028564453125,29.0
64,karlbergsvägen 25c,1312,1.0,4075000, 18 januari 2022,24,140517,vasastan,29,1,,59.34225331778468,18.04229736328125,81.0
65,karlbergsvägen 69a,833,2.0,3560000, 18 januari 2022,27,136923,vasastan,26,1,,59.34225331778468,18.03062438964844,46.0
66,kammakargatan 21,1853,2.0,3575000, 18 januari 2022,24,137500,vasastan,26,1,,59.3377013701892,18.056716918945312,192.0
67,norrbackagatan 25b,2694,2.0,5925000, 17 januari 2022,-3,98750,vasastan,60,3,,59.3429535632708,18.03062438964844,48.0
68,västmannagatan 32,2638,3.0,10500000, 17 januari 2022,14,141892,vasastan,74,3,1.0,59.33910203442368,18.050537109375,110.0
69,torsgatan 70,1692,2.0,3500000, 17 januari 2022,21,112903,vasastan,31,1,,59.34470411382097,18.035430908203125,71.0
70,norrbackagatan 27b,3483,3.0,7050000, 17 januari 2022,10,91558,vasastan,77,3,2.0,59.34365379431907,18.029937744140625,46.0
71,frejgatan 48,1703,2.0,4200000, 17 januari 2022,17,127273,vasastan,33,1,,59.34400390442908,18.044357299804688,77.0
72,karlbergsvägen 84 a,3653,1.0,7800000, 16 januari 2022,12,121875,vasastan,64,2,,59.34365379431907,18.028564453125,29.0
73,gästrikegatan 18a,1242,,4100000, 15 januari 2022,17,128125,vasastan,32,1,,59.34190318962736,18.03955078125,85.0
74,frejgatan 50,2391,1.0,6450000, 15 januari 2022,,153571,vasastan,42,2,,59.34400390442908,18.043670654296875,82.0
75,rådmansgatan 86,2021,4.0,7200000, 15 januari 2022,13,122034,vasastan,59,2,,59.33840170952597,18.049850463867188,86.0
76,wargentinsgatan 3,2291,2.0,4750000, 27 januari 2022,27,118750,kungsholmen,40,2,3.0,59.332448364897616,18.04023742675781,63.0
77,gjutargatan 6,2202,2.0,3975000, 27 januari 2022,17,101923,kungsholmen,39,2,4.0,59.33665083411027,18.027877807617188,62.0
78,polhemsgatan 34a,3775,3.0,7750000, 27 januari 2022,±0,121094,kungsholmen,64,2,,59.33279859052077,18.03817749023437,44.0
79,sankt eriksgatan 41,1024,2.0,3650000, 26 januari 2022,14,104286,kungsholmen,35,2,4.0,59.333849245729375,18.031997680664062,97.0
80,svarvargatan 3,1918,2.0,4200000, 26 januari 2022,20,107692,kungsholmen,39,2,4.0,59.33700101641311,18.02581787109375,30.0
81,svarvargatan 7,3655,2.0,5300000, 26 januari 2022,7,89831,kungsholmen,59,2,2.0,59.33735119510607,18.02581787109375,30.0
82,lindhagensgatan 106,3830,3.0,6800000, 26 januari 2022,5,90667,kungsholmen,75,3,2.0,59.33560026554231,18.012771606445312,29.0
83,kungsholmsgatan 52,1844,1.0,5300000, 26 januari 2022,18,123256,kungsholmen,43,2,2.0,59.332448364897616,18.03955078125,59.0
84,kungsholms kyrkoplan 6,2234,3.0,5250000, 25 januari 2022,19,116667,kungsholmen,45,2,2.0,59.32964642994368,18.04916381835937,57.0
85,levertinsgatan 1,4959,3.0,6500000, 25 januari 2022,18,85526,kungsholmen,76,4,,59.333849245729375,17.99835205078125,9.0
86,bergsgatan 14,3344,1.0,11550000, 25 januari 2022,39,139157,kungsholmen,83,3,4.0,59.32929617182799,18.04847717285156,59.0
87,alströmergatan 32m,1534,,3475000, 25 januari 2022,29,124107,kungsholmen,28,1,2.0,59.33700101641311,18.02650451660156,38.0
88,wargentinsgatan 5d,2257,2.0,4878000, 25 januari 2022,27,121950,kungsholmen,40,2,4.0,59.33279859052077,18.04023742675781,62.0
89,industrigatan 7a,2770,3.0,3900000, 25 januari 2022,18,111429,kungsholmen,35,2,,59.33630064819755,18.029937744140625,96.0
90,runiusgatan 7,1976,,3700000, 25 januari 2022,6,80435,kungsholmen,46,2,,59.32964642994368,18.008651733398438,13.0
91,hantverkargatan 53,2949,3.0,6850000, 25 januari 2022,20,112295,kungsholmen,61,2,3.0,59.32964642994368,18.03749084472656,33.0
92,karlsviksgatan 7,3164,3.0,7600000, 25 januari 2022,27,120635,kungsholmen,63,3,,59.330346935343954,18.028564453125,73.0
93,fridhemsgatan 53,3386,3.0,9600000, 25 januari 2022,21,154839,kungsholmen,62,3,6.0,59.33665083411027,18.031997680664062,105.0
94,rålambsvägen 72,2539,3.0,3660000, 25 januari 2022,22,101667,kungsholmen,36,1,3.0,59.33139766636693,17.999725341796875,13.0
95,blekholmsterrassen 5,3557,,4000000, 25 januari 2022,14,90909,kungsholmen,44,2,3.0,59.330697182628576,18.05259704589844,61.0
96,fleminggatan 45,1684,3.0,4340000, 25 januari 2022,11,105854,kungsholmen,41,2,2.0,59.33349903093664,18.038864135742188,49.0
97,pipersgatan 5 a,2129,3.0,7200000, 25 januari 2022,20,133333,kungsholmen,54,2,,59.32929617182799,18.044357299804688,90.0
98,rålambshovsleden 38,3782,3.0,7050000, 24 januari 2022,25,105224,kungsholmen,67,2,,59.3310474263029,18.022384643554688,16.0
99,svarvargatan 11,3579,2.0,5700000, 24 januari 2022,16,100000,kungsholmen,57,2,3.0,59.3377013701892,18.02581787109375,30.0
100,fridhemsgatan 41,997,2.0,5000000, 24 januari 2022,,121951,kungsholmen,41,2,,59.334899868447216,18.03062438964844,96.0
101,lustgårdsgatan 14,2071,2.0,4380000, 24 januari 2022,±0,95217,kungsholmen,46,2,3.0,59.33665083411027,18.012771606445312,26.0
102,pipersgatan 27,4609,2.0,10550000, 24 januari 2022,8,124118,kungsholmen,85,3,2.0,59.33174790282072,18.046417236328125,88.0
103,sankt eriksgatan 16,2949,3.0,6700000, 24 januari 2022,17,113559,kungsholmen,59,2,2.0,59.330346935343954,18.03062438964844,75.0
104,alströmergatan 4,2875,2.0,6900000, 24 januari 2022,3,100000,kungsholmen,69,3,,59.33560026554231,18.032684326171875,103.0
105,rålambsvägen 48,1536,,2865000, 22 januari 2022,22,106111,kungsholmen,27,1,,59.329996684449,18.004531860351562,11.0
106,igeldammsgatan 34,2110,2.0,4300000, 22 januari 2022,13,102381,kungsholmen,42,2,3.0,59.33805154166247,18.0230712890625,15.0
107,sankt göransgatan 70,686,2.0,3950000, 21 januari 2022,13,103947,kungsholmen,38,2,,59.33349903093664,18.03062438964844,97.0
108,frödingsvägen 1,2424,,4520000, 21 januari 2022,±0,100444,kungsholmen,45,2,1.0,59.3310474263029,18.00384521484375,13.0
109,lustgårdsgatan 3,2880,2.0,4300000, 21 januari 2022,±0,87755,kungsholmen,49,2,5.0,59.33560026554231,18.013458251953125,29.0
110,drottningholmsvägen 17,2377,3.0,6850000, 21 januari 2022,14,118103,kungsholmen,58,2,3.0,59.33174790282072,18.029937744140625,96.0
111,fyrverkarbacken 23,3358,3.0,5750000, 21 januari 2022,19,104545,kungsholmen,55,2,7.0,59.32649397692606,18.021011352539062,7.0
112,chapmansgatan 4,1234,2.0,3400000, 21 januari 2022,26,117241,kungsholmen,29,1,3.0,59.3285956447654,18.033370971679688,45.0
113,wennerbergsgatan 6b,2109,3.0,3520000, 21 januari 2022,18,83810,kungsholmen,42,2,,59.32754482709309,18.0120849609375,16.0
114,kungsholms kyrkoplan 6,2234,3.0,5200000, 21 januari 2022,13,115556,kungsholmen,45,2,,59.32964642994368,18.04916381835937,57.0
115,fleminggatan 57,3002,3.0,7400000, 20 januari 2022,15,94872,kungsholmen,78,3,3.0,59.333849245729375,18.03749084472656,46.0
116,vitalisvägen 5,2112,,3700000, 20 januari 2022,24,97368,kungsholmen,38,2,1.0,59.330346935343954,18.005905151367188,11.0
117,ola hanssonsgatan 3,1884,1.0,2850000, 20 januari 2022,,101786,kungsholmen,28,1,,59.33349903093664,18.000411987304688,14.0
118,kungsholmstorg 3c,3181,3.0,10000000, 20 januari 2022,25,121951,kungsholmen,82,3,5.0,59.32754482709309,18.04161071777344,57.0
119,kronobergsgatan 23a,2041,1.0,7400000, 20 januari 2022,6,112121,kungsholmen,66,3,3.0,59.33349903093664,18.033370971679688,87.0
120,fyrverkarbacken 40,1070,2.0,3900000, 20 januari 2022,±0,100000,kungsholmen,39,2,3.0,59.32614368631589,18.018951416015625,9.0
121,drottningholmsvägen 76,1154,2.0,3400000, 19 januari 2022,36,106250,kungsholmen,32,1,,59.33174790282072,18.01551818847656,23.0
122,kungsbro strand 25,2362,3.0,3550000, 19 januari 2022,25,136538,kungsholmen,26,1,2.0,59.3310474263029,18.049850463867188,52.0
123,kungsholmsgatan 15,2101,3.0,4350000, 19 januari 2022,±0,103571,kungsholmen,42,2,5.0,59.330697182628576,18.04779052734375,72.0
124,levertinsgatan 5,5151,3.0,6250000, 19 januari 2022,14,78125,kungsholmen,80,3,,59.33454966448465,17.999038696289062,12.0
125,kungsklippan 7,4659,3.0,12650000, 19 januari 2022,8,119340,kungsholmen,106,4,3.0,59.32964642994368,18.04847717285156,60.0
126,love almqvists väg 4a,3088,3.0,3210000, 18 januari 2022,15,84474,kungsholmen,38,2,,59.33454966448465,18.002471923828125,16.0
127,hjärnegatan 5,2356,1.0,4640000, 18 januari 2022,22,125405,kungsholmen,37,1,,59.332448364897616,18.04161071777344,76.0
128,arbetargatan 27b,3370,3.0,6700000, 18 januari 2022,22,100000,kungsholmen,67,3,6.0,59.33454966448465,18.027877807617188,83.0
129,john ericssonsgatan 5,2073,2.0,5100000, 18 januari 2022,22,118605,kungsholmen,43,2,4.0,59.32824537581845,18.03680419921875,22.0
130,drottningholmsvägen 31,2723,3.0,5200000, 18 januari 2022,13,91228,kungsholmen,57,2,4.0,59.33139766636693,18.02650451660156,55.0
131,vitalisvägen 7,2114,,3705000, 18 januari 2022,24,92625,kungsholmen,40,2,3.0,59.330346935343954,18.005905151367188,11.0
132,vitalisvägen 6,2048,,3740000, 18 januari 2022,25,98421,kungsholmen,38,2,,59.330346935343954,18.005218505859375,11.0
133,lindhagensgatan 104a,3051,3.0,4800000, 18 januari 2022,14,88889,kungsholmen,54,2,7.0,59.33560026554231,18.012771606445312,29.0
134,fridhemsgatan 64a,2263,3.0,4150000, 17 januari 2022,19,133871,kungsholmen,31,1,4.0,59.33630064819755,18.032684326171875,108.0
135,celsiusgatan 3,1179,,4300000, 17 januari 2022,21,110256,kungsholmen,39,1,,59.33279859052077,18.038864135742188,48.0
136,sankt eriksgatan 39,1024,2.0,3500000, 17 januari 2022,17,100000,kungsholmen,35,2,,59.333849245729375,18.031997680664062,97.0
137,kungsholms kyrkoplan 4,1488,2.0,3100000, 17 januari 2022,24,110714,kungsholmen,28,1,,59.32929617182799,18.04916381835937,56.0
138,fleminggatan 60 c,4001,2.0,5950000, 17 januari 2022,9,94444,kungsholmen,63,2,4.0,59.334899868447216,18.02925109863281,93.0
139,storgatan 32,2576,2.0,6100000, 27 januari 2022,2,156410,ostermalm,39,2,,59.33419945691206,18.087615966796875,55.0
140,linnégatan 39a,3650,2.0,13750000, 27 januari 2022,17,171875,ostermalm,80,3,,57.694198609393965,11.951751708984377,90.0
141,kommendörsgatan 24,2439,2.0,10750000, 26 januari 2022,±0,147260,ostermalm,73,3,4.0,59.33805154166247,18.08212280273437,106.0
142,styrmansgatan 37,1844,3.0,3870000, 26 januari 2022,16,129000,ostermalm,30,1,,59.334899868447216,18.086929321289062,58.0
143,riddargatan 29 c,1906,1.0,6850000, 26 januari 2022,11,142708,ostermalm,48,2,,59.33314881253376,18.084869384765625,51.0
144,sibyllegatan 50 b,1171,2.0,4200000, 26 januari 2022,5,140000,ostermalm,30,2,,59.34120292248412,18.08418273925781,48.0
145,styrmansgatan 7a,1973,4.0,7300000, 26 januari 2022,8,128070,ostermalm,57,2,,59.332448364897616,18.084869384765625,46.0
146,odengatan 6a,1809,3.0,5725000, 26 januari 2022,15,127222,ostermalm,45,2,,59.34680465537325,18.064956665039062,54.0
147,kaptensgatan 11,7500,2.0,31000000, 26 januari 2022,19,161458,ostermalm,192,7,,59.33279859052077,18.08143615722656,94.0
148,kommendörsgatan 42,679,2.0,4800000, 25 januari 2022,14,129730,ostermalm,37,2,,59.33700101641311,18.086929321289062,56.0
149,brahegatan 23,3127,1.0,7675000, 25 januari 2022,13,144811,ostermalm,53,2,,59.33945219145792,18.077316284179688,126.0
150,brahegatan 58,1123,2.0,3275000, 25 januari 2022,22,148864,ostermalm,22,1,3.0,59.34260344233248,18.080062866210938,34.0
151,sibyllegatan 29,2887,2.0,9000000, 24 januari 2022,,130435,ostermalm,69,2,,59.33630064819755,18.080062866210938,143.0
152,gyllenstiernsgatan 17,4368,3.0,10400000, 23 januari 2022,9,119540,ostermalm,87,4,,59.3377013701892,18.100662231445312,15.0
153,artillerigatan 63,4877,3.0,15950000, 23 januari 2022,23,154854,ostermalm,103,4,,59.33980234488247,18.084869384765625,48.0
154,surbrunnsgatan 9,1866,2.0,5700000, 23 januari 2022,30,135714,ostermalm,42,2,3.0,59.34680465537325,18.06358337402344,67.0
155,körsbärsvägen 6,2183,3.0,3680000, 22 januari 2022,7,96842,ostermalm,38,2,2.0,59.34890506699451,18.065643310546875,30.0
156,skeppargatan 52,2249,,6250000, 22 januari 2022,16,120192,ostermalm,52,2,,59.33700101641311,18.08555603027344,60.0
157,tyskbagargatan 5,2159,2.0,8500000, 22 januari 2022,42,149123,ostermalm,57,2,,59.340152494697335,18.082809448242188,70.0
158,grevgatan 23 b,1586,,3350000, 21 januari 2022,±0,139583,ostermalm,24,1,2.0,59.33419945691206,18.08418273925781,72.0
159,valhallavägen 67,1354,2.0,3000000, 21 januari 2022,11,115385,ostermalm,26,1,,59.346454574137645,18.06976318359375,32.0
160,brahegatan 50,1935,2.0,3715000, 21 januari 2022,±0,90610,ostermalm,41,2,,59.34190318962736,18.080062866210938,53.0
161,kommendörsgatan 40,2809,1.0,7200000, 21 januari 2022,9,124138,ostermalm,58,2,,59.33700101641311,18.08624267578125,59.0
162,brahegatan 46,2516,3.0,13940000, 21 januari 2022,12,170000,ostermalm,82,3,,59.34155305786052,18.079376220703125,59.0
163,narvavägen 31a,2024,1.0,8150000, 21 januari 2022,,153774,ostermalm,53,2,4.0,59.33630064819755,18.090362548828125,42.0
164,birger jarlsgatan 104a,1555,2.0,3000000, 20 januari 2022,,142857,ostermalm,21,1,,59.34785487742492,18.06221008300781,72.0
165,riddargatan 42,2735,1.0,13000000, 20 januari 2022,,162500,ostermalm,80,3,,59.33314881253376,18.08349609375,60.0
166,sturegatan 42,3323,3.0,14350000, 20 januari 2022,17,175000,ostermalm,82,3,,59.34085278349814,18.077316284179688,75.0
167,gyllenstiernsgatan 18,4401,3.0,9850000, 19 januari 2022,16,114535,ostermalm,86,4,3.0,59.3377013701892,18.101348876953125,14.0
168,valhallavägen 116a,2252,,6700000, 19 januari 2022,24,136735,ostermalm,49,2,,59.34225331778468,18.08212280273437,47.0
169,banérgatan 25 a,604,2.0,3200000, 19 januari 2022,8,128000,ostermalm,25,1,,59.33630064819755,18.09242248535156,40.0
170,breitenfeldsgatan 3,1588,,4800000, 19 januari 2022,20,133333,ostermalm,36,1,3.0,59.3387518737797,18.094482421875,43.0
171,linnégatan 51,633,3.0,5250000, 18 januari 2022,31,159091,ostermalm,33,2,,59.33630064819755,18.084869384765625,70.0
172,storgatan 32,2972,2.0,6800000, 18 januari 2022,18,151111,ostermalm,45,2,,59.33419945691206,18.087615966796875,55.0
173,birger jarlsgatan 104b,2188,,3900000, 17 januari 2022,,125806,ostermalm,31,2,,59.34785487742492,18.06221008300781,72.0
174,sibyllegatan 6a,0,,10740000, 17 januari 2022,5,143200,ostermalm,75,3,,59.3359504586749,18.080062866210938,141.0
175,odengatan 6a,1436,3.0,5600000, 15 januari 2022,25,147368,ostermalm,38,2,,59.34680465537325,18.064956665039062,54.0
176,riddargatan 3a,4601,3.0,12000000, 14 januari 2022,14,139535,ostermalm,86,4,2.0,59.334899868447216,18.07525634765625,224.0
177,floragatan 14,1799,,7600000, 14 januari 2022,4,149020,ostermalm,51,2,,59.3429535632708,18.075942993164062,22.0
178,östermalmsgatan 61,1995,3.0,7750000, 14 januari 2022,-3,133621,ostermalm,58,2,,59.34155305786052,18.079376220703125,59.0
179,artillerigatan 4,479,,8100000, 14 januari 2022,,192857,ostermalm,42,2,,59.332448364897616,18.080062866210938,112.0
180,grev turegatan 52b,3958,3.0,12750000, 13 januari 2022,±0,143258,ostermalm,89,3,,59.33910203442368,18.079376220703125,120.0
181,grev turegatan 62,3066,3.0,11200000, 13 januari 2022,15,153425,ostermalm,73,3,,59.34050264090254,18.080062866210938,87.0
182,danderydsgatan 28,935,2.0,3000000, 12 januari 2022,,157895,ostermalm,19,1,,59.34470411382097,18.07113647460937,27.0
183,grevgatan 53,674,3.0,5100000, 12 januari 2022,13,141667,ostermalm,36,2,,59.33700101641311,18.086929321289062,56.0
184,lodgatan 1,2122,3.0,8000000, 12 januari 2022,14,125000,ostermalm,64,3,,59.34190318962736,18.065643310546875,92.0
185,grev turegatan 74,1773,2.0,7725000, 12 januari 2022,10,133190,ostermalm,58,2,3.0,59.34190318962736,18.08074951171875,54.0
186,gumshornsgatan 9,2173,3.0,5550000, 11 januari 2022,26,146053,ostermalm,38,2,,59.33630064819755,18.089675903320312,46.0
187,valhallavägen 61,1403,2.0,3100000, 11 januari 2022,15,114815,ostermalm,27,1,,59.34680465537325,18.068389892578125,33.0
188,riddargatan 29c,2805,1.0,9560000, 11 januari 2022,13,151746,ostermalm,63,2,,59.33314881253376,18.084869384765625,51.0
189,jungfrugatan 52,2744,2.0,8300000, 10 januari 2022,14,148214,ostermalm,56,2,,59.34120292248412,18.08555603027344,39.0
190,artillerigatan 65,2822,,7500000, 9 januari 2022,7,141509,ostermalm,53,2,,59.33980234488247,18.084869384765625,48.0
191,sturegatan 42,3323,3.0,14000000, 8 januari 2022,17,166667,ostermalm,84,3,,59.34085278349814,18.077316284179688,75.0
192,valhallavägen 148 c,737,,2850000, 8 januari 2022,14,158333,ostermalm,18,1,,59.33980234488247,18.09242248535156,47.0
193,gumshornsgatan 6,3470,,11600000, 4 januari 2022,1,165714,ostermalm,70,3,,59.33560026554231,18.089675903320312,47.0
194,styrmansgatan 23,818,,2250000, 30 december 2021,-8,173077,ostermalm,13,1,,59.333849245729375,18.08624267578125,54.0
195,artillerigatan 26,1112,,3640000, 23 december 2021,16,140000,ostermalm,26,1,2.0,59.33454966448465,18.08143615722656,123.0
196,gyllenstiernsgatan 3,3793,3.0,10400000, 22 december 2021,12,123810,ostermalm,84,3,4.0,59.33630064819755,18.099288940429688,16.0
197,stureparken 11 / floragatan 20,1200,2.0,4550000, 22 december 2021,14,126389,ostermalm,36,1,,59.34330368059963,18.077316284179688,17.0
198,artillerigatan 28b,512,1.0,15575000, 18 december 2021,±0,173056,ostermalm,90,3,,59.334899868447216,18.08212280273437,113.0
199,kommendörsgatan 33 a,1586,2.0,3950000, 18 december 2021,20,131667,ostermalm,30,1,,59.33735119510607,18.08624267578125,58.0
200,engelbrektsgatan 16,4038,2.0,11100000, 17 december 2021,13,140506,ostermalm,79,3,,59.34365379431907,18.072509765625,28.0
201,surbrunnsgatan 2,1897,2.0,4550000, 16 december 2021,15,113750,ostermalm,40,2,1.0,59.34750480701685,18.064956665039062,44.0
