adress,location,size:rooms,fee,features,sale_price,sold_date,value_dev,ppsqm,district
frejgatan 50,"vasastan, stockholms kommun",42 m²   2 rum,2 391 kr/mån,balkong,slutpris 6 450 000 kr,såld 15 januari 2022,null,153 571 kr/m²,vasastan
"tre liljor 5b, 3,5tr","vasastan, stockholms kommun","37 m²   1,5 rum",1 998 kr/mån,balkong&hiss,slutpris 4 650 000 kr,såld 15 januari 2022,+16 %,125 676 kr/m²,vasastan
rådmansgatan 86,"vasastan, stockholms kommun",59 m²   2 rum,2 021 kr/mån,uteplats,slutpris 7 200 000 kr,såld 15 januari 2022,+13 %,122 034 kr/m²,vasastan
sankt eriksgatan 109,"vasastaden, stockholms kommun",25 m²   1 rum,436 kr/mån,hiss,slutpris 3 150 000 kr,såld 14 januari 2022,+19 %,126 000 kr/m²,vasastan
sveavägen 117b,"vasastan, stockholms kommun","36 m²   1,5 rum",1 273 kr/mån,null,slutpris 4 200 000 kr,såld 14 januari 2022,+17 %,116 667 kr/m²,vasastan
"torsgatan 58, 1,5 tr","vasastan - s:t eriksplan, stockholms kommun",31 m²   1 rum,1 733 kr/mån,hiss,slutpris 3 435 000 kr,såld 14 januari 2022,+15 %,110 806 kr/m²,vasastan
"torsplan 8, vån 9","hagastaden, stockholms kommun",65 m²   3 rum,3 950 kr/mån,balkong&hiss,slutpris 10 000 000 kr,såld 14 januari 2022,+11 %,153 846 kr/m²,vasastan
"tomtebogatan 40, 2tr","vasastan - birkastan, stockholms kommun",36 m²   2 rum,1 922 kr/mån,balkong&hiss,slutpris 4 850 000 kr,såld 14 januari 2022,134 722 kr/m²,,vasastan
"tulegatan 27, 2tr","vasastan, stockholms kommun",25 m²   1 rum,680 kr/mån,balkong&hiss,slutpris 3 650 000 kr,såld 14 januari 2022,+22 %,146 000 kr/m²,vasastan
sankt eriksplan 5,"vasastan - st eriksplan, stockholms kommun",59 m²   2 rum,2 084 kr/mån,balkong&hiss,slutpris 8 000 000 kr,såld 14 januari 2022,+15 %,135 593 kr/m²,vasastan
"bråvallagatan 7, kungsbalkong!","vasastan - birkastan, stockholms kommun","34,5 m²   1,5 rum",2 020 kr/mån,balkong&hiss,slutpris 5 500 000 kr,såld 14 januari 2022,+38 %,159 420 kr/m²,vasastan
vanadisvägen 4 k,"vasastaden, stockholms kommun","41 m²   1,5 rum",1 868 kr/mån,balkong&hiss,slutpris 4 400 000 kr,såld 14 januari 2022,+14 %,107 317 kr/m²,vasastan
"hagagatan 18a, 2 tr","vasastan, stockholms kommun",50 m²   2 rum,2 724 kr/mån,balkong,slutpris 6 200 000 kr,såld 14 januari 2022,+7 %,124 000 kr/m²,vasastan
"dalagatan 35c, 4+5tr","vasastaden, stockholms kommun",87 m²   3 rum,3 922 kr/mån,balkong&hiss,slutpris 12 810 000 kr,såld 13 januari 2022,+22 %,147 241 kr/m²,vasastan
"hagagatan 8, 2 tr ög","vasastan, stockholms kommun",28 m²   1 rum,1 280 kr/mån,balkong,slutpris 4 350 000 kr,såld 13 januari 2022,+14 %,155 357 kr/m²,vasastan
drejargatan 4,"vasastan, stockholms kommun",26 m²   1 rum,1 199 kr/mån,hiss,slutpris 3 380 000 kr,såld 13 januari 2022,null,130 000 kr/m²,vasastan
ingemarsgatan 3b,"vasastan - sibirien, stockholms kommun",36 m²   2 rum,1 780 kr/mån,hiss,slutpris 4 150 000 kr,såld 13 januari 2022,+19 %,115 278 kr/m²,vasastan
"vegagatan 3, 3tr","vasastan, stockholms kommun",125 m²   4 rum,4 285 kr/mån,balkong&hiss,slutpris 17 250 000 kr,såld 13 januari 2022,+10 %,138 000 kr/m²,vasastan
"roslagsgatan 54, 3 tr","sibirien/vasastan, stockholms kommun",24 m²   1 rum,1 509 kr/mån,hiss,slutpris 3 300 000 kr,såld 13 januari 2022,+32 %,137 500 kr/m²,vasastan
torsplan 8,"torsplan, stockholms kommun",59 m²   2 rum,3 657 kr/mån,balkong&hiss,slutpris 7 250 000 kr,såld 13 januari 2022,+12 %,122 881 kr/m²,vasastan
"norrtullsgatan 63, 4 tr","vasastan, stockholms kommun",56 m²   2 rum,2 800 kr/mån,balkong&hiss,slutpris 5 550 000 kr,såld 13 januari 2022,+11 %,99 107 kr/m²,vasastan
rörstrandsgatan 3,"vasastan - birkastan, stockholms kommun","103 m²   3,5 rum",2 333 kr/mån,hiss,slutpris 10 600 000 kr,såld 12 januari 2022,+12 %,102 913 kr/m²,vasastan
"lästmakargatan 18, 4 tr","vasastan / östermalm, stockholms kommun","41,5 m²   1 rum",2 338 kr/mån,hiss,slutpris 5 020 000 kr,såld 12 januari 2022,+14 %,120 964 kr/m²,vasastan
"norra stationsgatan 117, vån 4","vasastan, stockholms kommun",31 m²   1 rum,1 808 kr/mån,balkong,slutpris 3 800 000 kr,såld 12 januari 2022,+27 %,122 581 kr/m²,vasastan
"sankt eriksgatan 65, 3 tr","vasastan, stockholms kommun",86 m²   2 rum,4 048 kr/mån,hiss,slutpris 8 950 000 kr,såld 12 januari 2022,+5 %,104 070 kr/m²,vasastan
dalagatan 78c,"vasastan, stockholms kommun",47 m²   2 rum,1 862 kr/mån,null,slutpris 5 100 000 kr,såld 12 januari 2022,+19 %,108 511 kr/m²,vasastan
"upplandsgatan 34, 6tr","vasastan, stockholms kommun",56 m²   2 rum,2 415 kr/mån,balkong&hiss,slutpris 7 300 000 kr,såld 12 januari 2022,+28 %,130 357 kr/m²,vasastan
"norrtullsgatan 16 b, 6tr","vasastan, stockholms kommun",67 m²   3 rum,2 305 kr/mån,balkong&hiss,slutpris 7 275 000 kr,såld 12 januari 2022,+18 %,108 582 kr/m²,vasastan
"odengatan 92, 4 tr","stockholm, stockholms kommun",37 m²   1 rum,839 kr/mån,hiss,slutpris 5 620 000 kr,såld 12 januari 2022,+41 %,151 892 kr/m²,vasastan
"idungatan 5, 4tr","vasastan, stockholms kommun",39 m²   2 rum,2 022 kr/mån,balkong&hiss,slutpris 4 520 000 kr,såld 12 januari 2022,+21 %,115 897 kr/m²,vasastan
"västmannagatan 50, 5tr","vasastan, stockholms kommun",60 m²   2 rum,3 701 kr/mån,null,slutpris 5 700 000 kr,såld 12 januari 2022,+25 %,95 000 kr/m²,vasastan
hagagatan 8a,"vasastan odenplan, stockholms kommun",27 m²   2 rum,1 280 kr/mån,balkong,slutpris 4 250 000 kr,såld 11 januari 2022,+33 %,157 407 kr/m²,vasastan
"torsplan 8, 6tr","vasastan / torsplan, stockholms kommun",85 m²   4 rum,4 908 kr/mån,balkong&hiss,slutpris 11 200 000 kr,såld 11 januari 2022,+7 %,131 765 kr/m²,vasastan
sveavägen 83,"vasastan, stockholms kommun",23 m²   1 rum,850 kr/mån,hiss,slutpris 3 200 000 kr,såld 11 januari 2022,+31 %,139 130 kr/m²,vasastan
karlbergsvägen 66a,"vasastan / birkastan, stockholms kommun",96 m²   4 rum,4 819 kr/mån,null,slutpris 12 750 000 kr,såld 11 januari 2022,+7 %,132 813 kr/m²,vasastan
markvardsgatan 6a,"vasastan, stockholms kommun",34 m²   2 rum,1 660 kr/mån,balkong&hiss,slutpris 4 900 000 kr,såld 11 januari 2022,±0 %,144 118 kr/m²,vasastan
"rådmansgatan 73, 4 tr","vasastan, stockholms kommun",108 m²   3 rum,3 623 kr/mån,balkong&hiss,slutpris 15 100 000 kr,såld 10 januari 2022,+26 %,139 815 kr/m²,vasastan
"emmy rappes gata 3, vån 3","hagastaden - vasastan, stockholms kommun",66 m²   2 rum,3 977 kr/mån,hiss,slutpris 6 995 000 kr,såld 10 januari 2022,±0 %,105 985 kr/m²,vasastan
sveavägen 140,"stockholm - vasastan/norrmalm, stockholms kommun",24 m²   1 rum,600 kr/mån,hiss,slutpris 3 200 000 kr,såld 10 januari 2022,+23 %,133 333 kr/m²,vasastan
rådmansgatan 75,"vasastan, stockholms kommun",35 m²   1 rum,2 085 kr/mån,hiss,slutpris 4 400 000 kr,såld 10 januari 2022,+11 %,125 714 kr/m²,vasastan
rörstrandsgatan 42a,"vasastan, stockholms kommun",57 m²   3 rum,2 252 kr/mån,balkong,slutpris 7 800 000 kr,såld 10 januari 2022,+16 %,136 842 kr/m²,vasastan
"dalagatan 70, 4tr","vasastan, stockholms kommun",80 m²   4 rum,3 086 kr/mån,balkong,slutpris 9 800 000 kr,såld 8 januari 2022,+11 %,122 500 kr/m²,vasastan
völundsgatan 11,"vasastaden, stockholms kommun",38 m²   2 rum,2 147 kr/mån,hiss,slutpris 4 600 000 kr,såld 7 januari 2022,±0 %,121 053 kr/m²,vasastan
"torsgatan 40a, 3tr ög","vasastan - s:t eriksplan, stockholms kommun",54 m²   2 rum,3 082 kr/mån,balkong,slutpris 6 150 000 kr,såld 6 januari 2022,null,113 889 kr/m²,vasastan
ingemarsgatan 3b,"vasastan, stockholms kommun",32 m²   2 rum,1 658 kr/mån,balkong&hiss,slutpris 4 300 000 kr,såld 6 januari 2022,134 375 kr/m²,,vasastan
vulcanusgatan 13,"vasastaden, stockholms kommun",38 m²   2 rum,1 986 kr/mån,hiss,slutpris 4 600 000 kr,såld 5 januari 2022,+15 %,121 053 kr/m²,vasastan
"frejgatan 50, 2 tr","vasastan - odenplan, stockholms kommun",47 m²   2 rum,2 553 kr/mån,null,slutpris 6 800 000 kr,såld 5 januari 2022,null,144 681 kr/m²,vasastan
torsgatan 78,"vasastaden, stockholms kommun",47 m²   2 rum,2 454 kr/mån,null,slutpris 5 350 000 kr,såld 4 januari 2022,null,113 830 kr/m²,vasastan
"upplandsgatan 49, 3 tr","vasastan, stockholms kommun",64 m²   3 rum,3 459 kr/mån,balkong&hiss,slutpris 6 200 000 kr,såld 4 januari 2022,+3 %,96 875 kr/m²,vasastan
"västmannagatan 18, 4 tr","vasastan, stockholms kommun","35 m²   1,5 rum",2 108 kr/mån,balkong&hiss,slutpris 4 500 000 kr,såld 3 januari 2022,+13 %,128 571 kr/m²,vasastan
"roslagsgatan 40, våning 4+5","vasastan, stockholms kommun",90 + 10 m²   3 rum,3 248 kr/mån,balkong,slutpris 11 000 000 kr,såld 26 december 2021,+16 %,122 222 kr/m²,vasastan
tomtebogatan 51,"vasastan - birkastan, stockholms kommun",62 m²   2 rum,3 067 kr/mån,balkong&hiss,slutpris 8 050 000 kr,såld 23 december 2021,129 839 kr/m²,,vasastan
karlbergsvägen 45,"vasastaden, stockholms kommun",74 m²   3 rum,2 343 kr/mån,balkong&hiss,slutpris 13 320 000 kr,såld 23 december 2021,±0 %,180 000 kr/m²,vasastan
birkagatan 34,"vasastan, stockholms kommun",115 m²   4 rum,3 650 kr/mån,balkong&hiss,slutpris 20 700 000 kr,såld 23 december 2021,±0 %,180 000 kr/m²,vasastan
döbelnsgatan 52,"vasastan, stockholms kommun","52,3 m²   2 rum",2 128 kr/mån,hiss,slutpris 5 800 000 kr,såld 22 december 2021,+5 %,110 899 kr/m²,vasastan
"gävlegatan 36b, vån 6","hagastaden - vasastan, stockholms kommun","30 m²   1,5 rum",1 834 kr/mån,hiss,slutpris 3 995 000 kr,såld 22 december 2021,±0 %,133 167 kr/m²,vasastan
"luntmakargatan 67, vindsvåning","vasastaden, stockholms kommun",51 m²   2 rum,2 486 kr/mån,balkong&hiss,slutpris 7 600 000 kr,såld 21 december 2021,±0 %,149 020 kr/m²,vasastan
"torsgatan 40 a, 1tr. över gård","vasastan - s:t eriksplan, stockholms kommun",28 m²   1 rum,1 897 kr/mån,balkong,slutpris 3 550 000 kr,såld 20 december 2021,null,126 786 kr/m²,vasastan
torsplan 8,"hagastaden - vasastan, stockholms kommun",69 m²   2 rum,4 132 kr/mån,balkong&hiss,slutpris 6 800 000 kr,såld 20 december 2021,-1 %,98 551 kr/m²,vasastan
"rörstrandsgatan 13, 2 tr","vasastan birkastan, stockholms kommun",110 m²   4 rum,1 775 kr/mån,balkong&hiss,slutpris 15 200 000 kr,såld 19 december 2021,138 182 kr/m²,,vasastan
torsplan 10,"vasastan/hagastaden, stockholms kommun",87 m²   3 rum,5 011 kr/mån,balkong&hiss,slutpris 15 700 000 kr,såld 19 december 2021,±0 %,180 460 kr/m²,vasastan
"rörstrandsgatan 17, 3tr","vasastan - birkastan, stockholms kommun",115 m²   4 rum,3 776 kr/mån,hiss,slutpris 15 700 000 kr,såld 18 december 2021,null,136 522 kr/m²,vasastan
"dannemoragatan 14, 5 tr","vasastan, stockholms kommun",35 m²   2 rum,1 518 kr/mån,hiss,slutpris 4 400 000 kr,såld 18 december 2021,null,125 714 kr/m²,vasastan
"bråvallagatan 9a, halv tr.","vasastan - birkastan, stockholms kommun",37 m²   2 rum,1 931 kr/mån,hiss,slutpris 4 350 000 kr,såld 17 december 2021,+24 %,117 568 kr/m²,vasastan
rörstrandsgatan 13,"vasastan birkastan, stockholms kommun","36 m²   1,5 rum",581 kr/mån,hiss,slutpris 4 250 000 kr,såld 17 december 2021,+13 %,118 056 kr/m²,vasastan
"hälsingegatan 1, 2 tr","vasastan odenplan, stockholms kommun",92 m²   3 rum,3 192 kr/mån,balkong&hiss,slutpris 14 580 000 kr,såld 17 december 2021,+30 %,158 478 kr/m²,vasastan
karlbergsvägen 47b,"vasastan - birkastan, stockholms kommun",60 m²   2 rum,2 425 kr/mån,balkong,slutpris 8 400 000 kr,såld 17 december 2021,+16 %,140 000 kr/m²,vasastan
"roslagsgatan 53, 1 tr","vasastan, stockholms kommun",33 m²   1 rum,1 710 kr/mån,null,slutpris 3 450 000 kr,såld 16 december 2021,+3 %,104 545 kr/m²,vasastan
birger jarlsgatan 115 a,"sibirien/ vasastan, stockholms kommun",35 m²   2 rum,1 749 kr/mån,null,slutpris 4 375 000 kr,såld 16 december 2021,+22 %,125 000 kr/m²,vasastan
"frejgatan 34, 5tr","vasastan, stockholms kommun",43 m²   2 rum,2 345 kr/mån,balkong&hiss,slutpris 5 425 000 kr,såld 16 december 2021,±0 %,126 163 kr/m²,vasastan
"vanadisvägen 5, 1,5tr.","vasastan, stockholms kommun","78 m²   2,5 rum",4 404 kr/mån,hiss,slutpris 7 500 000 kr,såld 15 december 2021,±0 %,96 154 kr/m²,vasastan
"rörstrandsgatan 22a, 4 tr","vasastaden, stockholms kommun",61 m²   2 rum,2 364 kr/mån,balkong&hiss,slutpris 8 550 000 kr,såld 15 december 2021,+23 %,140 164 kr/m²,vasastan
"atlasmuren 18, 3 tr","vasastan, stockholms kommun","42,9 m²   2 rum",1 054 kr/mån,hiss,slutpris 5 380 000 kr,såld 15 december 2021,null,125 408 kr/m²,vasastan
birger jarlsgatan 67,"östermalm / vasastan, stockholms kommun",91 m²   3 rum,2 474 kr/mån,null,slutpris 8 400 000 kr,såld 15 december 2021,+6 %,92 308 kr/m²,vasastan
"norrbackagatan 14, 3tr","vasastan - birkastan, stockholms kommun",27 m²   1 rum,1 695 kr/mån,hiss,slutpris 3 350 000 kr,såld 14 december 2021,+16 %,124 074 kr/m²,vasastan
sigtunagatan 10,"vasastan, stockholms kommun",39 m²   2 rum,1 076 kr/mån,uteplats,slutpris 4 950 000 kr,såld 14 december 2021,+19 %,126 923 kr/m²,vasastan
"odengatan 48a, 3 tr","vasastan, stockholms kommun",56 m²   2 rum,2 645 kr/mån,balkong,slutpris 7 400 000 kr,såld 14 december 2021,+19 %,132 143 kr/m²,vasastan
"rödabergsgatan 2, 1 tr","vasastan, stockholms kommun","23,5 m²   1 rum",1 346 kr/mån,null,slutpris 3 070 000 kr,såld 14 december 2021,+25 %,130 638 kr/m²,vasastan
roslagsgatan 47,"vasastaden, stockholms kommun","36,5 m²   1,5 rum",1 855 kr/mån,hiss,slutpris 3 825 000 kr,såld 14 december 2021,+9 %,104 795 kr/m²,vasastan
birger jarlsgatan 95,"vasastaden, stockholms kommun",55 m²   2 rum,2 198 kr/mån,null,slutpris 7 650 000 kr,såld 14 december 2021,null,139 091 kr/m²,vasastan
"dalagatan 44 a, 3 tr","vasastan - vasaparken, stockholms kommun",23 m²   2 rum,546 kr/mån,balkong,slutpris 3 700 000 kr,såld 14 december 2021,-7 %,160 870 kr/m²,vasastan
"frejgatan 37, 2tr","vasastan, stockholms kommun",72 m²   3 rum,3 682 kr/mån,balkong&hiss,slutpris 7 900 000 kr,såld 14 december 2021,+13 %,109 722 kr/m²,vasastan
"frejgatan 10, 2tr","vasastan, stockholms kommun",58 m²   2 rum,995 kr/mån,balkong&hiss,slutpris 8 300 000 kr,såld 14 december 2021,+25 %,143 103 kr/m²,vasastan
"vikingagatan 22b, 3tr","vasastan - birkastan, stockholms kommun",57 m²   2 rum,1 926 kr/mån,hiss,slutpris 7 400 000 kr,såld 13 december 2021,null,129 825 kr/m²,vasastan
karlbergsvägen 66a,"vasastan - birkastan, stockholms kommun","33,7 m²   1 rum",1 553 kr/mån,balkong,slutpris 4 210 000 kr,såld 13 december 2021,+21 %,124 926 kr/m²,vasastan
rödabergsgatan 4,"vasastaden, stockholms kommun",44 m²   2 rum,2 451 kr/mån,null,slutpris 5 200 000 kr,såld 12 december 2021,±0 %,118 182 kr/m²,vasastan
"holländargatan 24, 5 tr","vasastan - norrmalm, stockholms kommun",80 + 8 m²   3 rum,4 010 kr/mån,balkong&hiss,slutpris 10 700 000 kr,såld 12 december 2021,+7 %,133 750 kr/m²,vasastan
"döbelnsgatan 58, 1tr - accepterat pris","vasastan, stockholms kommun",61 m²   2 rum,2 373 kr/mån,hiss,slutpris 5 945 000 kr,såld 10 december 2021,±0 %,97 459 kr/m²,vasastan
"rörstrandsgatan 31, 6 tr","vasastan birkastan, stockholms kommun",76 m²   3 rum,2 140 kr/mån,balkong&hiss,slutpris 12 500 000 kr,såld 10 december 2021,+28 %,164 474 kr/m²,vasastan
"karlbergsvägen 51, 1 / 2 tr mot gård","vasastan, stockholms kommun",27 m²   1 rum,1 491 kr/mån,hiss,slutpris 3 500 000 kr,såld 10 december 2021,+21 %,129 630 kr/m²,vasastan
torsgatan 31,"vasastan, stockholms kommun","66 + 45 m²   4,5 rum",4 397 kr/mån,hiss,slutpris 6 550 000 kr,såld 10 december 2021,+1 %,99 242 kr/m²,vasastan
"norrbackagatan 60, 2 tr","vasastan, stockholms kommun",77 m²   3 rum,4 248 kr/mån,balkong&hiss,slutpris 8 450 000 kr,såld 10 december 2021,+13 %,109 740 kr/m²,vasastan
hälsingegatan 31,"vasastan, stockholms kommun","39,5 m²   2 rum",1 689 kr/mån,balkong&hiss,slutpris 4 800 000 kr,såld 9 december 2021,+7 %,121 519 kr/m²,vasastan
"luntmakargatan 86b, 2tr","vasastan - odenplan, stockholms kommun",77 m²   3 rum,4 387 kr/mån,balkong&hiss,slutpris 7 700 000 kr,såld 9 december 2021,+13 %,100 000 kr/m²,vasastan
"rådmansgatan 56, 6 tr accepterat pris","vasastan, stockholms kommun",37 m²   1 rum,966 kr/mån,hiss,slutpris 3 500 000 kr,såld 9 december 2021,-5 %,94 595 kr/m²,vasastan
"döbelnsgatan 52, 8 tr","vasastan, stockholms kommun","52,3 m²   2 rum",2 122 kr/mån,balkong&hiss,slutpris 5 660 000 kr,såld 9 december 2021,+21 %,108 222 kr/m²,vasastan
sveavägen 114,"vasastan, stockholms kommun","155 m²   4,5 rum",4 023 kr/mån,balkong&hiss,slutpris 18 100 000 kr,såld 9 december 2021,+10 %,116 774 kr/m²,vasastan
"tegnérgatan 55d, 5 + 6 tr (vind)","vasastan, stockholms kommun",31 + 7 m²   2 rum,2 186 kr/mån,balkong&hiss,slutpris 5 100 000 kr,såld 9 december 2021,+6 %,164 516 kr/m²,vasastan
torsgatan 49,"vasastaden, stockholms kommun",38 m²   1 rum,1 626 kr/mån,null,slutpris 3 960 000 kr,såld 8 december 2021,+6 %,104 211 kr/m²,vasastan
drejargatan 2,"birkastan, stockholms kommun",47 m²   2 rum,391 kr/mån,balkong&hiss,slutpris 7 300 000 kr,såld 8 december 2021,155 319 kr/m²,,vasastan
"västmannagatan 87 b, 1 tr","vasastan odenplan, stockholms kommun",54 m²   2 rum,2 207 kr/mån,balkong&hiss,slutpris 6 550 000 kr,såld 8 december 2021,+11 %,121 296 kr/m²,vasastan
odengatan 27 3tr,"vasastan, stockholms kommun",134 m²   3 rum,0 kr/mån,balkong&hiss,slutpris 18 100 000 kr,såld 8 december 2021,+13 %,135 075 kr/m²,vasastan
birkagatan 35,"vasastan birkastan, stockholms kommun",44 m²   2 rum,1 730 kr/mån,balkong,slutpris 5 945 000 kr,såld 8 december 2021,+19 %,135 114 kr/m²,vasastan
"hagagatan 1, 6 tr","vasastan, stockholms kommun",85 m²   4 rum,3 764 kr/mån,hiss,slutpris 7 995 000 kr,såld 8 december 2021,±0 %,94 059 kr/m²,vasastan
"upplandsgatan 32, 2tr","vasastan odenplan, stockholms kommun","36,5 m²   2 rum",2 104 kr/mån,hiss,slutpris 4 400 000 kr,såld 8 december 2021,+28 %,120 548 kr/m²,vasastan
roslagsgatan 23,"vasastan - sibirien, stockholms kommun",56 m²   2 rum,2 693 kr/mån,hiss,slutpris 6 720 000 kr,såld 8 december 2021,+13 %,120 000 kr/m²,vasastan
"roslagsgatan 29, 5 tr","vasastan, stockholms kommun",27 m²   2 rum,1 696 kr/mån,balkong&hiss,hiss,slutpris 4 430 000 kr,såld 8 december 2021,+20 %,vasastan
hagagatan 50,"vasastan, stockholms kommun",38 + 34 m²   2 rum,4 395 kr/mån,balkong&hiss,slutpris 6 300 000 kr,såld 8 december 2021,+15 %,165 789 kr/m²,vasastan
"dannemoragatan 14, 3tr","vasastan, stockholms kommun",38 m²   2 rum,1 827 kr/mån,hiss,slutpris 4 560 000 kr,såld 8 december 2021,+18 %,120 000 kr/m²,vasastan
upplandsgatan 47,"vasastan - odenplan, stockholms kommun",55 m²   2 rum,2 170 kr/mån,balkong&hiss,slutpris 7 500 000 kr,såld 8 december 2021,+11 %,136 364 kr/m²,vasastan
"hagaesplanaden 61, 7tr","vasastan - hagastaden, stockholms kommun",70 m²   3 rum,3 935 kr/mån,balkong&hiss,slutpris 8 060 000 kr,såld 8 december 2021,-2 %,115 143 kr/m²,vasastan
karlbergsvägen 55,"vasastan, birkastan, stockholms kommun","39 m²   1,5 rum",1 028 kr/mån,hiss,slutpris 4 862 500 kr,såld 8 december 2021,+14 %,124 679 kr/m²,vasastan
frejgatan 19,"vasastan/östermalm, stockholms kommun",86 m²   4 rum,2 890 kr/mån,balkong&hiss,slutpris 12 300 000 kr,såld 8 december 2021,+13 %,143 023 kr/m²,vasastan
vegagatan 6,"vasastan, stockholms kommun",87 m²   3 rum,3 890 kr/mån,balkong,slutpris 11 800 000 kr,såld 8 december 2021,+15 %,135 632 kr/m²,vasastan
"dalagatan 35b, 4+5tr.","vasastan - odenplan, stockholms kommun",92 + 12 m²   3 rum,4 057 kr/mån,balkong&hiss,slutpris 13 750 000 kr,såld 7 december 2021,+31 %,149 457 kr/m²,vasastan
"rörstrandsgatan 37, 3tr","vasastan - birkastan, stockholms kommun",63 m²   3 rum,1 795 kr/mån,balkong&hiss,slutpris 7 750 000 kr,såld 7 december 2021,+11 %,123 016 kr/m²,vasastan
"observatoriegatan 23, 4tr","vasastan - odenplan, stockholms kommun",90 m²   3 rum,3 745 kr/mån,balkong&hiss,slutpris 13 800 000 kr,såld 7 december 2021,+31 %,153 333 kr/m²,vasastan
"sonja kovalevskys gata 11, vån 12","vasastan/hagastaden, stockholms kommun",35 m²   2 rum,1 750 kr/mån,hiss,slutpris 4 535 000 kr,såld 7 december 2021,null,129 571 kr/m²,vasastan
"rörstrandsgatan 15, 2tr","vasastan - birkastan, stockholms kommun","40 m²   1,5 rum",2 136 kr/mån,balkong&hiss,slutpris 5 470 000 kr,såld 7 december 2021,+22 %,136 750 kr/m²,vasastan
"karlbergsvägen 82b, 3 tr","vasastan - birkastan, stockholms kommun",60 m²   2 rum,2 408 kr/mån,balkong&hiss,slutpris 7 800 000 kr,såld 7 december 2021,130 000 kr/m²,,vasastan
dalagatan 70a,"vasastan, stockholms kommun",77 m²   3 rum,3 087 kr/mån,balkong,slutpris 10 200 000 kr,såld 7 december 2021,+13 %,132 468 kr/m²,vasastan
"upplandsgatan 46, 4 tr","vasastan, stockholms kommun",59 m²   2 rum,1 695 kr/mån,balkong&hiss,slutpris 8 050 000 kr,såld 7 december 2021,+15 %,136 441 kr/m²,vasastan
"tomtebogatan 15a, 1tr","vasastan birkastan, stockholms kommun",58 m²   2 rum,1 936 kr/mån,balkong&hiss,slutpris 7 750 000 kr,såld 7 december 2021,+25 %,133 621 kr/m²,vasastan
"rödabergsgatan 10, 1,5 tr","vasastan rödabergen, stockholms kommun",98 m²   3 rum,4 442 kr/mån,hiss,slutpris 10 875 000 kr,såld 7 december 2021,+14 %,110 969 kr/m²,vasastan
"karlbergsvägen 48, vån 4","vasastan, stockholms kommun",104 m²   4 rum,4 747 kr/mån,balkong&hiss,slutpris 12 550 000 kr,såld 7 december 2021,+7 %,120 673 kr/m²,vasastan
"nina einhorns gata 1, 7 tr","hagastaden, stockholms kommun",42 m²   2 rum,2 127 kr/mån,balkong&hiss,slutpris 4 450 000 kr,såld 7 december 2021,+13 %,105 952 kr/m²,vasastan
dalagatan 8,"vasastan - norrmalm, stockholms kommun","42 m²   1,5 rum",2 191 kr/mån,balkong&hiss,slutpris 4 450 000 kr,såld 7 december 2021,+14 %,105 952 kr/m²,vasastan
atlasgatan 12,"vasastan, stockholms kommun",29 m²   1 rum,1 279 kr/mån,null,slutpris 3 450 000 kr,såld 7 december 2021,+15 %,118 966 kr/m²,vasastan
frejgatan 44,"vasastan, stockholms kommun",103 + 15 m²   3 rum,2 867 kr/mån,balkong&hiss,hiss,slutpris 16 000 000 kr,såld 7 december 2021,+7 %,vasastan
birger jarlsgatan 119,"vasastan, stockholms kommun",58 m²   3 rum,2 141 kr/mån,balkong&hiss,slutpris 6 520 000 kr,såld 7 december 2021,+9 %,112 414 kr/m²,vasastan
"döbelnsgatan 63 a, 2 tr","vasastan, stockholms kommun",40 m²   2 rum,2 099 kr/mån,balkong,slutpris 5 700 000 kr,såld 6 december 2021,+27 %,142 500 kr/m²,vasastan
"roslagsgatan 49, vån 2","vasastan, stockholms kommun",28 m²   1 rum,1 602 kr/mån,hiss,slutpris 3 325 000 kr,såld 6 december 2021,+15 %,118 750 kr/m²,vasastan
tre liljor 3,"vasastan, stockholms kommun",52 m²   2 rum,1 676 kr/mån,hiss,slutpris 5 700 000 kr,såld 6 december 2021,+10 %,109 615 kr/m²,vasastan
"atlasmuren 18, vån 2","vasastaden, stockholms kommun","22,1 m²   1 rum",961 kr/mån,hiss,slutpris 3 100 000 kr,såld 6 december 2021,+11 %,140 271 kr/m²,vasastan
"falugatan 21, 2 tr","vasastan / röda bergen, stockholms kommun",68 m²   2 rum,3 130 kr/mån,null,slutpris 7 100 000 kr,såld 6 december 2021,+9 %,104 412 kr/m²,vasastan
karlbergsvägen 23,"vasastan, stockholms kommun",161 m²   5 rum,6 382 kr/mån,balkong&hiss,slutpris 25 000 000 kr,såld 4 december 2021,+10 %,155 280 kr/m²,vasastan
"sankt eriksplan 17, 3tr","vasastan - s:t eriksplan, stockholms kommun",32 m²   1 rum,1 545 kr/mån,hiss,slutpris 3 650 000 kr,såld 3 december 2021,+11 %,114 063 kr/m²,vasastan
"hagagatan 1, 4tr","vasastan - odenplan, stockholms kommun",60 m²   2 rum,2 742 kr/mån,hiss,slutpris 5 350 000 kr,såld 3 december 2021,+14 %,89 167 kr/m²,vasastan
"torsplan 8, vån 9","hagastaden, stockholms kommun",79 m²   3 rum,4 611 kr/mån,balkong&hiss,slutpris 10 350 000 kr,såld 3 december 2021,+4 %,131 013 kr/m²,vasastan
"tulegatan 27, 2 tr","vasastan, stockholms kommun","37 m²   1,5 rum",839 kr/mån,hiss,slutpris 4 975 000 kr,såld 3 december 2021,+25 %,134 459 kr/m²,vasastan
