adress,fee,features,sale_price,sold_date,value_dev,ppsqm,district,size,rooms,floor
gyllenborgsgatan 22,2088,,4100000, 21 september 2021,22,105128,kungsholmen,39,2,
industrigatan 9,3588,3.0,6500000, 21 september 2021,±0,101563,kungsholmen,64,2,
kungsklippan 20,2671,3.0,3785000, 21 september 2021,20,118281,kungsholmen,32,2,7
baltzar von platens gata 5,2039,3.0,4150000, 21 september 2021,19,125758,kungsholmen,33,1,
kungsholmsgatan 42,1990,,4730000, 21 september 2021,13,96531,kungsholmen,49,2,
kungsklippan 20,2670,3.0,3150000, 20 september 2021,±0,98438,kungsholmen,32,1,2
celsiusgatan 8,1891,3.0,4300000, 20 september 2021,27,138710,kungsholmen,31,1,
kronobergsgatan 19,1696,2.0,3200000, 20 september 2021,14,106667,kungsholmen,30,1,4
kronobergsgatan 16,1315,4.0,2900000, 20 september 2021,±0,111538,kungsholmen,26,1,
lidnersgatan 2,3779,3.0,4350000, 20 september 2021,4,90625,kungsholmen,48,2,3
nordenflychtsvägen 69,3165,2.0,6100000, 20 september 2021,,95313,kungsholmen,64,3,
kungsholmsgatan 26,2513,2.0,6800000, 18 september 2021,24,109677,kungsholmen,62,2,
messeniusgatan 6,3321,3.0,4400000, 17 september 2021,5,88000,kungsholmen,50,2,3
grubbensringen 21,4813,3.0,8000000, 17 september 2021,27,115942,kungsholmen,69,3,
wennerbergsgatan 6a,2511,3.0,4550000, 17 september 2021,14,91000,kungsholmen,50,2,5
geijersvägen 17,2243,,3690000, 16 september 2021,23,78511,kungsholmen,47,2,1
kronobergsgatan 24,1868,2.0,4700000, 16 september 2021,12,109302,kungsholmen,43,2,3
pilgatan 19c,4250,3.0,9350000, 16 september 2021,10,110000,kungsholmen,85,4,
john ericssonsgatan 11 a,2270,2.0,4350000, 16 september 2021,,120833,kungsholmen,36,2,
industrigatan 10,2193,2.0,3800000, 16 september 2021,13,105556,kungsholmen,36,2,
nordenflychtsvägen 69,3315,3.0,5830000, 16 september 2021,17,84493,kungsholmen,69,3,
sankt eriksgatan 52a,2981,3.0,6450000, 16 september 2021,17,105738,kungsholmen,61,3,
igeldammsgatan 20,2000,2.0,4800000, 16 september 2021,12,100000,kungsholmen,48,2,2
kungsholmstorg 3b,3040,3.0,9000000, 16 september 2021,14,113924,kungsholmen,79,3,2
sankt göransgatan 78,1987,3.0,11500000, 15 september 2021,±0,111650,kungsholmen,103,4,2
bergsgatan 20,909,2.0,2830000, 15 september 2021,20,134762,kungsholmen,21,1,4
fredhällsgatan 7,2238,3.0,4380000, 15 september 2021,19,97333,kungsholmen,45,2,3
industrigatan 2a,6936,3.0,16550000, 15 september 2021,39,130315,kungsholmen,127,4,
lindhagensgatan 63,2084,,3500000, 15 september 2021,17,94595,kungsholmen,37,2,
ola hanssonsgatan 6,2437,3.0,3420000, 15 september 2021,18,92432,kungsholmen,37,2,
john ericssonsgatan 7,2120,2.0,4050000, 15 september 2021,16,101250,kungsholmen,40,2,
igeldammsgatan 10,2801,2.0,5300000, 15 september 2021,14,110417,kungsholmen,48,2,5
kronobergsgatan 16,2073,3.0,4850000, 15 september 2021,9,101042,kungsholmen,48,2,1
alströmergatan 32 p,2335,,4225000, 15 september 2021,11,93889,kungsholmen,45,2,3
kungsklippan 11,2685,2.0,2900000, 14 september 2021,2,93548,kungsholmen,31,1,
hjärnegatan 4,5877,1.0,12200000, 14 september 2021,23,106087,kungsholmen,115,5,4
john ericssonsgatan 5,1838,2.0,4700000, 14 september 2021,24,109302,kungsholmen,43,2,
lidnersgatan 10a,3220,2.0,3520000, 14 september 2021,7,80000,kungsholmen,44,2,
kungsholmsgatan 46,1480,,3900000, 14 september 2021,15,111429,kungsholmen,35,2,
rålambsvägen 72,3664,3.0,5860000, 14 september 2021,17,90154,kungsholmen,65,2,3
wargentinsgatan 3,2473,3.0,5200000, 14 september 2021,30,115556,kungsholmen,45,2,4
ola hanssonsgatan 6,2437,3.0,3500000, 14 september 2021,17,97222,kungsholmen,36,2,3
kungsholms strand 163,4110,3.0,7500000, 14 september 2021,15,101351,kungsholmen,74,3,4
john ericssonsgatan 6,2351,3.0,4250000, 14 september 2021,22,125000,kungsholmen,34,2,2
sankt göransgatan 82,3080,2.0,5000000, 14 september 2021,15,102041,kungsholmen,49,2,3
fleminggatan 111,2053,2.0,3900000, 14 september 2021,4,102632,kungsholmen,38,2,
sankt eriksgatan 9,3982,3.0,10800000, 13 september 2021,20,120000,kungsholmen,90,3,4
rålambsvägen 48,1979,,3200000, 13 september 2021,14,91429,kungsholmen,35,2,
celsiusgatan 2,1636,,4225000, 13 september 2021,18,111184,kungsholmen,38,2,3
olof dalins väg 20,4151,3.0,5775000, 13 september 2021,7,93145,kungsholmen,62,2,2
rålambsvägen 10a,3574,3.0,4850000, 13 september 2021,21,78226,kungsholmen,62,2,3
ernst ahlgrens väg 5,2112,,3450000, 13 september 2021,19,90789,kungsholmen,38,2,1
pontonjärgatan 33,1886,2.0,5350000, 13 september 2021,41,130488,kungsholmen,41,2,4
fleminggatan 45,1298,2.0,2950000, 13 september 2021,-1,109259,kungsholmen,27,1,2
jakob westinsgatan 1a,7759,3.0,26000000, 13 september 2021,-4,132653,kungsholmen,196,6,
fleminggatan 21a,2478,,7000000, 13 september 2021,17,114754,kungsholmen,61,2,
gambrinusgatan 2,1929,1.0,4250000, 13 september 2021,29,114865,kungsholmen,37,2,3
wennerbergsgatan 6b,2360,3.0,3775000, 13 september 2021,8,80319,kungsholmen,47,2,4
olof dalins väg 18,6627,3.0,8900000, 11 september 2021,-1,88119,kungsholmen,101,4,4
baltzar von platens gata 5,2733,3.0,5925000, 10 september 2021,43,131667,kungsholmen,45,2,
fridhemsgatan 60,1724,2.0,3950000, 10 september 2021,2,96341,kungsholmen,41,2,
kungsholms strand 143,2554,3.0,5900000, 10 september 2021,7,100000,kungsholmen,59,2,2
messeniusgatan 6,1926,3.0,2930000, 10 september 2021,11,101034,kungsholmen,29,1,5
lidnersgatan 10a,2585,2.0,3150000, 10 september 2021,13,95455,kungsholmen,33,2,3
kellgrensgatan 18,3647,3.0,6700000, 10 september 2021,12,95714,kungsholmen,70,3,6
fleminggatan 21a,2478,1.0,7050000, 10 september 2021,23,115574,kungsholmen,61,2,
kungsbro strand 17,2975,2.0,3300000, 9 september 2021,±0,86842,kungsholmen,38,2,
sysslomansgatan 22,2154,3.0,3150000, 9 september 2021,7,90000,kungsholmen,35,2,7
karlsviksgatan 9,1969,2.0,3860000, 9 september 2021,8,87727,kungsholmen,44,2,1
pontonjärgatan 34,2271,3.0,4425000, 9 september 2021,17,94149,kungsholmen,47,2,5
gambrinusgatan 5,2704,2.0,3730000, 9 september 2021,13,79362,kungsholmen,47,2,1
bergsgatan 26,4940,,10120000, 9 september 2021,16,120476,kungsholmen,84,3,
runiusgatan 9,1633,,3100000, 9 september 2021,5,81579,kungsholmen,38,2,
polhemsgatan 4,1236,2.0,5600000, 9 september 2021,20,119149,kungsholmen,47,2,2
kungsholmsgatan 22,3626,3.0,8225000, 8 september 2021,8,86579,kungsholmen,95,3,6
kristinebergs strand 3,4609,3.0,11500000, 8 september 2021,21,123656,kungsholmen,93,4,4
industrigatan 16,1230,2.0,2940000, 8 september 2021,34,122500,kungsholmen,24,1,7
atterbomsvägen 28,1705,2.0,2600000, 8 september 2021,13,100000,kungsholmen,26,1,5
geijersvägen 21,2816,,4725000, 8 september 2021,24,80085,kungsholmen,59,3,
kungsklippan 22,2456,2.0,2700000, 8 september 2021,18,90000,kungsholmen,30,1,
lindhagensgatan 61,2155,,3580000, 8 september 2021,12,91795,kungsholmen,39,2,
franzéngatan 82,5004,3.0,9000000, 8 september 2021,9,83333,kungsholmen,108,4,
hornsbergs strand 49,4495,3.0,10300000, 7 september 2021,9,106186,kungsholmen,97,4,4
igeldammsgatan 38,2367,2.0,3680000, 7 september 2021,5,92000,kungsholmen,40,2,2
ernst ahlgrens väg 10,2173,1.0,3800000, 7 september 2021,±0,92683,kungsholmen,41,2,
kronobergsgatan 26,1526,2.0,4670000, 7 september 2021,23,111190,kungsholmen,42,2,
vitalisvägen 4,2248,,3650000, 7 september 2021,11,84884,kungsholmen,43,2,
ehrensvärdsgatan 4,1308,2.0,4050000, 7 september 2021,±0,112500,kungsholmen,36,2,
gyllenborgsgatan 11,2023,,4000000, 7 september 2021,23,100000,kungsholmen,40,2,
sysslomansgatan 22,3884,3.0,6200000, 7 september 2021,24,98413,kungsholmen,63,3,
fredhällsgatan 3,1960,3.0,3800000, 7 september 2021,15,92683,kungsholmen,41,2,4
pilgatan 28,3281,3.0,7800000, 7 september 2021,12,106849,kungsholmen,73,2,
ture nermans gränd 4,634,2.0,2800000, 7 september 2021,8,107692,kungsholmen,26,1,1
garvargatan 19,2468,3.0,6250000, 6 september 2021,10,102459,kungsholmen,61,2,1
kellgrensgatan 14,4118,3.0,6700000, 5 september 2021,±0,79762,kungsholmen,84,3,
ola hanssonsgatan 6,2389,2.0,3000000, 5 september 2021,4,81081,kungsholmen,37,2,4
ola hanssonsgatan 9,1712,,2885000, 4 september 2021,16,96167,kungsholmen,30,1,
celsiusgatan 2,1636,,4160000, 4 september 2021,19,109474,kungsholmen,38,2,2
scheelegatan 24,4831,3.0,12300000, 3 september 2021,24,138202,kungsholmen,89,3,1
kungsholmsgatan 20,1664,2.0,3580000, 3 september 2021,20,105294,kungsholmen,34,1,
lindhagensgatan 81,4260,3.0,7000000, 3 september 2021,5,74468,kungsholmen,94,4,
södra agnegatan 20,1976,3.0,9100000, 3 september 2021,1,119737,kungsholmen,76,3,4
arbetargatan 33f,7737,3.0,15700000, 3 september 2021,8,96914,kungsholmen,162,4,
pontonjärgatan 27,697,2.0,2300000, 3 september 2021,10,127778,kungsholmen,18,1,
hjärnegatan 4,2949,,5150000, 3 september 2021,7,93636,kungsholmen,55,2,4
sankt eriksgatan 1,5275,3.0,12925000, 3 september 2021,12,123095,kungsholmen,105,4,5
ola hanssonsgatan 9,2843,,3725000, 3 september 2021,-2,74500,kungsholmen,50,2,
kristinebergs strand 35,3228,3.0,5375000, 3 september 2021,20,101415,kungsholmen,53,2,
sankt eriksgatan 41,1375,2.0,5150000, 3 september 2021,15,109574,kungsholmen,47,3,
stagneliusvägen 43,862,3.0,3500000, 3 september 2021,18,112903,kungsholmen,31,1,6
alströmergatan 32u,2352,4.0,4860000, 3 september 2021,8,101250,kungsholmen,48,2,
lindhagensgatan 69,3718,,4900000, 2 september 2021,9,76563,kungsholmen,64,3,2
wargentinsgatan 4,5914,3.0,15700000, 2 september 2021,22,126613,kungsholmen,124,5,3
kronobergsgatan 5,3724,3.0,7770000, 2 september 2021,4,94756,kungsholmen,82,3,
gambrinusgatan 3,2113,2.0,5200000, 2 september 2021,16,96296,kungsholmen,54,2,2
fleminggatan 109,1869,3.0,3420000, 2 september 2021,14,95000,kungsholmen,36,1,
pipersgatan 12,2852,3.0,11095000, 2 september 2021,28,127529,kungsholmen,87,3,3
franzéngatan 78,4212,3.0,8150000, 2 september 2021,9,92614,kungsholmen,88,3,4
blekholmsterrassen 3,6801,,9400000, 2 september 2021,18,94949,kungsholmen,99,4,6
hornsbergs strand 59,5152,3.0,12350000, 2 september 2021,5,107391,kungsholmen,115,4,4
ernst ahlgrens väg 10,2173,1.0,3550000, 1 september 2021,11,86585,kungsholmen,41,2,
lidnersgatan 10b,2922,2.0,3350000, 1 september 2021,16,88158,kungsholmen,38,2,3
ehrensvärdsgatan 3,5728,3.0,14100000, 1 september 2021,29,154945,kungsholmen,91,4,6
fridhemsgatan 66,3774,3.0,9370000, 1 september 2021,17,124933,kungsholmen,75,3,2
hantverkargatan 10a,4442,2.0,10350000, 1 september 2021,4,107813,kungsholmen,96,4,2
pilgatan 21,3874,3.0,7600000, 1 september 2021,9,100000,kungsholmen,76,3,1
fredhällsgatan 5,2083,3.0,3850000, 1 september 2021,17,96250,kungsholmen,40,2,1
eyvind johnsons gata 7,4265,3.0,7600000, 1 september 2021,4,82609,kungsholmen,92,3,6
drottningholmsvägen 60,2374,3.0,5200000, 1 september 2021,11,89655,kungsholmen,58,2,6
sankt göransgatan 102,4299,3.0,7100000, 31 augusti 2021,2,78022,kungsholmen,91,3,
kungsholmsgatan 8,946,,3725000, 31 augusti 2021,24,124167,kungsholmen,30,1,
alströmergatan 49,1789,2.0,2360000, 31 augusti 2021,18,98333,kungsholmen,24,1,
ola hanssonsgatan 4,3233,3.0,4525000, 31 augusti 2021,13,90500,kungsholmen,50,2,
kristinebergsvägen 1,2232,,3200000, 31 augusti 2021,11,84211,kungsholmen,38,2,
sysslomansgatan 11,2665,3.0,4150000, 31 augusti 2021,8,96512,kungsholmen,43,2,6
kungsholmsgatan 34,3308,2.0,6210000, 31 augusti 2021,24,112909,kungsholmen,55,2,
hantverkargatan 85,3568,3.0,5890000, 31 augusti 2021,7,95000,kungsholmen,62,2,1
grubbens gata 3,1544,3.0,4650000, 31 augusti 2021,16,122368,kungsholmen,38,2,3
parkgatan 20,1399,2.0,4050000, 30 augusti 2021,11,94186,kungsholmen,43,1,1
fridhemsgatan 15 högst upp!,2753,3.0,5050000, 30 augusti 2021,6,93519,kungsholmen,54,3,
stagneliusvägen 32,2797,3.0,3600000, 28 augusti 2021,20,76596,kungsholmen,47,2,
sysslomansgatan 22,3884,3.0,5400000, 28 augusti 2021,8,85714,kungsholmen,63,2,
vitalisvägen 3,2043,,3400000, 28 augusti 2021,17,89474,kungsholmen,38,2,3
lustgårdsgatan 4,3341,1.0,4800000, 28 augusti 2021,-4,76190,kungsholmen,63,2,5
stagneliusvägen 26,2481,3.0,3400000, 27 augusti 2021,18,97143,kungsholmen,35,2,4
thorildsvägen 5,4905,,5150000, 27 augusti 2021,17,68667,kungsholmen,75,3,
fleminggatan 21 a,6825,3.0,16230000, 27 augusti 2021,6,96607,kungsholmen,168,6,4
ola hanssonsgatan 1,1376,,2550000, 27 augusti 2021,11,102000,kungsholmen,25,1,
kronobergsgatan 26,2685,3.0,5705000, 27 augusti 2021,8,101875,kungsholmen,56,2,3
adlerbethsgatan 15,1934,,3300000, 26 augusti 2021,±0,97059,kungsholmen,34,2,3
alströmergatan 32b,2352,,4400000, 26 augusti 2021,10,89796,kungsholmen,49,2,2
kungsholmsgatan 40,1654,,6520000, 26 augusti 2021,19,112414,kungsholmen,58,2,2
södra agnegatan 26a,1331,,3100000, 26 augusti 2021,11,103333,kungsholmen,30,1,
kungsholms hamnplan 3a,3855,2.0,13000000, 26 augusti 2021,1,107438,kungsholmen,121,4,1
warfvinges väg 7,2937,3.0,4400000, 26 augusti 2021,10,83019,kungsholmen,53,2,2
mariebergsgatan 30,4415,2.0,8200000, 26 augusti 2021,6,87234,kungsholmen,94,4,7
runiusgatan 5,1660,2.0,3100000, 26 augusti 2021,7,81579,kungsholmen,38,2,2
runiusgatan 9,1547,2.0,3370000, 26 augusti 2021,18,91081,kungsholmen,37,2,
gyllenborgsgatan 13,3540,,5250000, 26 augusti 2021,6,83333,kungsholmen,63,2,3
alströmergatan 32g,1652,2.0,2970000, 26 augusti 2021,±0,99000,kungsholmen,30,1,2
geijersvägen 21,2816,,4200000, 25 augusti 2021,12,71186,kungsholmen,59,2,
runiusgatan 5,1633,2.0,3310000, 25 augusti 2021,12,87105,kungsholmen,38,2,3
orvar odds väg 2,1536,3.0,2470000, 25 augusti 2021,18,107391,kungsholmen,23,1,1
kungsholms strand 111,4358,2.0,7800000, 25 augusti 2021,4,91765,kungsholmen,85,3,
kristinebergsvägen 32,2850,3.0,4850000, 25 augusti 2021,10,78226,kungsholmen,62,2,
kronobergsgatan 28,2602,2.0,6810000, 25 augusti 2021,20,106406,kungsholmen,64,2,
kronobergsgatan 20,1623,2.0,3300000, 25 augusti 2021,16,143478,kungsholmen,23,1,2
grubbensringen 17,4563,3.0,8500000, 25 augusti 2021,13,111842,kungsholmen,76,3,
hornsbergs strand 85,3308,3.0,6025000, 25 augusti 2021,14,92692,kungsholmen,65,3,7
baltzar von platens gata 7a,903,2.0,4300000, 24 augusti 2021,16,116216,kungsholmen,37,2,3
sankt göransgatan 153,2234,2.0,3550000, 24 augusti 2021,-3,75532,kungsholmen,47,2,
kungsklippan 11,2718,2.0,3175000, 24 augusti 2021,18,102419,kungsholmen,31,2,5
kellgrensgatan 16,4118,3.0,6600000, 24 augusti 2021,2,78571,kungsholmen,84,3,
chapmansgatan 3,1708,2.0,4030000, 24 augusti 2021,15,98293,kungsholmen,41,2,0
alströmergatan 8b,2790,3.0,7400000, 24 augusti 2021,24,105714,kungsholmen,70,3,
kungsgatan 86,3295,3.0,7900000, 24 augusti 2021,16,116176,kungsholmen,68,2,3
fridhemsgatan 60,1431,,3950000, 24 augusti 2021,22,101282,kungsholmen,39,2,
fridhemsgatan 15,3208,3.0,6250000, 23 augusti 2021,10,96154,kungsholmen,65,3,7
kungsholmsgatan 9,2083,3.0,2800000, 23 augusti 2021,12,121739,kungsholmen,23,1,
levertinsgatan 1,1620,2.0,2395000, 23 augusti 2021,±0,104130,kungsholmen,23,1,
alströmergatan 32l - högst upp,1461,,2975000, 23 augusti 2021,17,106250,kungsholmen,28,1,
scheelegatan 38a,4040,3.0,8500000, 23 augusti 2021,13,94444,kungsholmen,90,3,6
norr mälarstrand 24,7640,3.0,20200000, 23 augusti 2021,10,104663,kungsholmen,193,6,3
sankt eriksgatan 14,1981,2.0,4500000, 22 augusti 2021,13,104651,kungsholmen,43,2,2
alströmergatan 35,3015,3.0,6350000, 21 augusti 2021,16,109483,kungsholmen,58,3,
fleminggatan 45,3424,3.0,9100000, 21 augusti 2021,11,101111,kungsholmen,90,4,
levertinsgatan 5,5007,3.0,5625000, 21 augusti 2021,13,75000,kungsholmen,75,3,
frödingsvägen 6,1857,,3130000, 20 augusti 2021,12,78250,kungsholmen,40,1,2
kronobergsgatan 7,3349,2.0,6750000, 20 augusti 2021,6,95070,kungsholmen,71,3,5
bergsgatan 49,1154,2.0,2500000, 20 augusti 2021,14,113636,kungsholmen,22,1,
alströmergatan 32m,2224,,4300000, 20 augusti 2021,16,95556,kungsholmen,45,2,
pontonjärgatan 8,1643,3.0,4950000, 20 augusti 2021,13,112500,kungsholmen,44,2,
sara lidmans gata 6,3364,3.0,7850000, 20 augusti 2021,5,78500,kungsholmen,100,3,4
nordenflychtsvägen 64,1456,3.0,3850000, 19 augusti 2021,10,87500,kungsholmen,44,2,3
lidnersgatan 12,2608,2.0,3000000, 19 augusti 2021,7,90909,kungsholmen,33,2,4
fredhällsgatan 9,2544,,4100000, 19 augusti 2021,,95349,kungsholmen,43,2,3
norr mälarstrand 86,1547,2.0,2900000, 19 augusti 2021,18,107407,kungsholmen,27,1,
sankt göransgatan 64a,1438,3.0,3070000, 19 augusti 2021,23,127917,kungsholmen,24,1,5
scheelegatan 22,4118,3.0,9500000, 19 augusti 2021,6,86364,kungsholmen,110,4,5
pontonjärgatan 49,938,2.0,2900000, 18 augusti 2021,16,111538,kungsholmen,26,1,
alströmergatan 32 u,1397,,2800000, 18 augusti 2021,12,112000,kungsholmen,25,1,
bergsgatan 35,797,2.0,3800000, 18 augusti 2021,19,118750,kungsholmen,32,2,
alströmergatan 32d,1143,,2350000, 18 augusti 2021,18,146875,kungsholmen,16,1,1
warfvinges väg 7,2973,3.0,4150000, 18 augusti 2021,9,76852,kungsholmen,54,2,
kungsbro strand 19,3290,3.0,4300000, 18 augusti 2021,16,104878,kungsholmen,41,2,
kristinebergs strand 27,4985,3.0,11400000, 18 augusti 2021,14,111765,kungsholmen,102,5,5
sankt eriksgatan 10,1620,3.0,5750000, 18 augusti 2021,15,108491,kungsholmen,53,2,4
södra agnegatan 31,4415,3.0,14100000, 18 augusti 2021,28,136893,kungsholmen,103,4,4
kungsholms strand 165,2281,2.0,4300000, 18 augusti 2021,13,97727,kungsholmen,44,2,
pontonjärgatan 5,3161,3.0,10175000, 18 augusti 2021,12,109409,kungsholmen,93,3,
ernst ahlgrens väg 7,2347,1.0,3850000, 18 augusti 2021,18,89535,kungsholmen,43,2,1
lustgårdsgatan 16,2042,3.0,4170000, 18 augusti 2021,10,90652,kungsholmen,46,2,6
fredhällsgatan 13,844,,2525000, 18 augusti 2021,17,132895,kungsholmen,19,1,3
fleminggatan 28,1041,2.0,2800000, 18 augusti 2021,8,112000,kungsholmen,25,1,
vitalisvägen 3,2782,,4350000, 17 augusti 2021,16,79091,kungsholmen,55,3,
kronobergsgatan 16,1568,3.0,3470000, 17 augusti 2021,12,111935,kungsholmen,31,1,3
kungsklippan 11,2664,2.0,2800000, 17 augusti 2021,12,90323,kungsholmen,31,1,1
hjalmar söderbergs väg 10,3156,3.0,4925000, 17 augusti 2021,13,92925,kungsholmen,53,2,
bergsgatan 47,1454,2.0,3660000, 17 augusti 2021,26,98919,kungsholmen,37,1,
alströmergatan 32c,1843,2.0,3450000, 17 augusti 2021,15,95833,kungsholmen,36,2,
john ericssonsgatan 11b,2566,2.0,4800000, 17 augusti 2021,±0,109091,kungsholmen,44,2,
igeldammsgatan 22 b,3342,2.0,4950000, 17 augusti 2021,1,112500,kungsholmen,44,2,2
inedalsgatan 7,930,2.0,3800000, 17 augusti 2021,4,86364,kungsholmen,44,2,1
pontonjärgatan 18,2526,2.0,4565000, 16 augusti 2021,24,101444,kungsholmen,45,2,
fridhemsgatan 10a,2630,2.0,4400000, 16 augusti 2021,10,100000,kungsholmen,44,2,3
industrigatan 7a,2850,3.0,3400000, 16 augusti 2021,17,94444,kungsholmen,36,2,
lindhagensgatan 145,4722,3.0,11675000, 16 augusti 2021,23,115594,kungsholmen,101,4,8
ulriksborgsgatan 16,2735,2.0,4200000, 15 augusti 2021,14,71186,kungsholmen,59,2,3
norr mälarstrand 26 5tr,4299,3.0,21400000, 14 augusti 2021,48,178333,kungsholmen,120,5,
fleminggatan 11,1394,2.0,5150000, 13 augusti 2021,3,100980,kungsholmen,51,2,
sankt göransgatan 82,2216,2.0,3400000, 13 augusti 2021,22,103030,kungsholmen,33,1,
lindhagensgatan 106,3152,3.0,4550000, 13 augusti 2021,14,79825,kungsholmen,57,2,3
svedbergsplan 4,1379,3.0,4670000, 13 augusti 2021,17,91569,kungsholmen,51,2,6
gyllenborgsgatan 22,1580,,2700000, 13 augusti 2021,18,112500,kungsholmen,24,1,
mitisgatan 3,2229,2.0,3630000, 13 augusti 2021,5,103714,kungsholmen,35,2,2
ernst ahlgrens väg 2,1625,,2800000, 13 augusti 2021,17,96552,kungsholmen,29,1,3
vitalisvägen 7,1892,,3275000, 12 augusti 2021,,93571,kungsholmen,35,2,
rålambsvägen 21,1726,2.0,3350000, 12 augusti 2021,12,85897,kungsholmen,39,2,
pontonjärgatan 8,1643,3.0,5200000, 12 augusti 2021,16,118182,kungsholmen,44,2,5
pilgatan 5,1279,2.0,2850000, 11 augusti 2021,20,118750,kungsholmen,24,1,
polhemsgatan 18,2413,3.0,4460000, 11 augusti 2021,18,114359,kungsholmen,39,2,2
adlerbethsgatan 15,1847,,3225000, 11 augusti 2021,,94853,kungsholmen,34,1,
polhemsgatan 34,3217,2.0,4800000, 10 augusti 2021,-4,85714,kungsholmen,56,2,
john ericssonsgatan 16,1435,3.0,2880000, 10 augusti 2021,25,130909,kungsholmen,22,1,
alströmergatan 32f,2224,,4350000, 10 augusti 2021,15,96667,kungsholmen,45,2,3
sankt eriksgatan 58d,1245,3.0,6150000, 10 augusti 2021,37,109821,kungsholmen,56,1,4
scheelegatan 11a,1108,3.0,3200000, 10 augusti 2021,28,110345,kungsholmen,29,1,
gjörwellsgatan 17,1933,3.0,4150000, 10 augusti 2021,15,79808,kungsholmen,52,3,
lustgårdsgatan 20,2091,3.0,4400000, 9 augusti 2021,10,89796,kungsholmen,49,2,4
kungsklippan 11,1895,2.0,2660000, 9 augusti 2021,11,110833,kungsholmen,24,1,
pontonjärgatan 49,1017,3.0,2850000, 7 augusti 2021,14,123913,kungsholmen,23,1,5
arbetargatan 23 a,3370,3.0,6100000, 6 augusti 2021,±0,91045,kungsholmen,67,3,
ola hanssonsgatan 4,2184,2.0,3300000, 6 augusti 2021,10,97059,kungsholmen,34,2,
vitalisvägen 7,1892,,3400000, 6 augusti 2021,17,97143,kungsholmen,35,2,
karlsviksgatan 14,1696,3.0,6900000, 6 augusti 2021,12,107813,kungsholmen,64,2,3
lars forssells gata 34,4019,3.0,9100000, 6 augusti 2021,1,109639,kungsholmen,83,3,4
kungsklippan 11,1829,2.0,2550000, 5 augusti 2021,22,110870,kungsholmen,23,1,1
lindhagensgatan 61,2301,,3950000, 5 augusti 2021,13,91860,kungsholmen,43,2,
sysslomansgatan 24,1282,3.0,2800000, 5 augusti 2021,12,112000,kungsholmen,25,1,
karlsviksgatan 7,1999,3.0,4050000, 5 augusti 2021,16,109459,kungsholmen,37,1,4
lars forssells gata 26,2673,3.0,4370000, 5 augusti 2021,9,89184,kungsholmen,49,2,4
inedalsgatan 2a,2379,3.0,3350000, 5 augusti 2021,14,111667,kungsholmen,30,1,4
elersvägen 44,1630,2.0,3530000, 5 augusti 2021,12,92895,kungsholmen,38,2,
bergsgatan 29,1100,3.0,3000000, 4 augusti 2021,20,125000,kungsholmen,24,1,
parkgatan 14,3194,3.0,5100000, 4 augusti 2021,13,110870,kungsholmen,46,2,4
thorildsvägen 5,3627,3.0,5475000, 4 augusti 2021,31,103302,kungsholmen,53,2,
lustgårdsgatan 1,3051,3.0,5000000, 4 augusti 2021,14,92593,kungsholmen,54,2,7
ehrensvärdsgatan 6,1174,2.0,3300000, 3 augusti 2021,35,113793,kungsholmen,29,1,5
fridhemsgatan 15,1709,2.0,3350000, 3 augusti 2021,12,104688,kungsholmen,32,2,
hantverkargatan 50,2545,2.0,6150000, 3 augusti 2021,±0,94615,kungsholmen,65,2,4
kungsholms strand 163,2760,2.0,3850000, 3 augusti 2021,13,98718,kungsholmen,39,2,
bergsgatan 29,1100,3.0,3050000, 3 augusti 2021,27,127083,kungsholmen,24,1,
sankt eriksgatan 52a,2674,3.0,4200000, 2 augusti 2021,22,120000,kungsholmen,35,2,5
alströmergatan 49,1982,2.0,2860000, 1 augusti 2021,15,102143,kungsholmen,28,1,3
fleminggatan 21,6825,3.0,16750000, 30 juli 2021,±0,99702,kungsholmen,168,6,2
sankt eriksgatan 40,345,2.0,3650000, 29 juli 2021,22,121667,kungsholmen,30,2,
sankt eriksgatan 16,1400,,2995000, 29 juli 2021,±0,106964,kungsholmen,28,1,
vitalisvägen 11,2114,,2950000, 29 juli 2021,26,73750,kungsholmen,40,1,
norr mälarstrand 82,1989,2.0,4500000, 28 juli 2021,±0,107143,kungsholmen,42,2,
creutzgatan 1,1524,,3600000, 28 juli 2021,20,92308,kungsholmen,39,2,
kungsklippan 11,1904,2.0,2550000, 28 juli 2021,±0,106250,kungsholmen,24,1,
grubbensringen 7,4099,3.0,7400000, 27 juli 2021,18,108824,kungsholmen,68,2,
atterbomsvägen 30,2001,3.0,3510000, 26 juli 2021,10,94865,kungsholmen,37,2,
parkgatan 14,3710,2.0,7150000, 26 juli 2021,,119167,kungsholmen,60,2,
hornsbergs strand 15c,3175,2.0,4450000, 25 juli 2021,6,69531,kungsholmen,64,2,
stagneliusvägen 42,2659,3.0,4200000, 23 juli 2021,20,82353,kungsholmen,51,2,3
pontonjärgatan 5 n.b.,1416,2.0,3400000, 22 juli 2021,±0,94444,kungsholmen,36,2,
svarvargatan 18,1954,3.0,5650000, 22 juli 2021,13,102727,kungsholmen,55,2,6
sysslomansgatan 1,5430,3.0,11600000, 22 juli 2021,11,108411,kungsholmen,107,3,5
alströmergatan 32o,1715,,3425000, 22 juli 2021,,95139,kungsholmen,36,2,
kungsholmsgatan 16,4091,,10150000, 22 juli 2021,±0,98544,kungsholmen,103,4,1
